If ^cs+cnd+++=If
a ^at++++=a
publicly ^rb++++=publicly
accessible ^jj+atrb+++=accessible
and ^cc+phrs+++=and
reliable ^jj+atrb+++=reliable
framework ^nn++++=framework
for ^in++++=for
assessing ^xvbg+++xvbg+=assessing
journal ^nn++++=journal
legitimacy ^nn+nom+++=legitimacy
can ^md+pos+++=can
be ^vb+be+aux++=be
established ^vpsv++agls+xvbnx+=established,
, ^zz++++=EXTRAWORD
services ^nns++++=services
such ^abl++++=such
as ^ql++++=as
Cabells ^np+++??+=Cabells
may ^md+pos+++=may
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
redirect ^vb+++??+=redirect
their ^pp$+pp3+++=their
efforts ^nns++++=efforts
from ^in++++=from
compiling ^nn+nom+++=compiling
lists ^nns++++=lists
of ^in++++=of
potentially ^rb++++=potentially
problematic ^jj+atrb+++=problematic
journals ^nns+nom+++=journals
to ^to++++=to
more ^rbr++++=more
actively ^rb++++=actively
supporting ^jj+atrb++xvbg+=supporting
journals ^nns+nom+++=journals
in ^in++++=in
need ^in"++++=need
of ^in"++++=of
corrections ^nns+nom+++=corrections
and ^cc++++=and
improvements ^nns+nom+++=improvements,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
continuing ^vbg+++xvbg+=continuing
to ^to++++=to
identify ^vbi++++=identify
and ^cc++++=and
address ^nns+nom+++=address
intentional ^jj+atrb+++=intentional
deception ^nn+nom+++=deception
and ^cc++++=and
fraud ^nn++++=fraud.
. ^zz++++=EXTRAWORD
The ^ati++++=The
work ^nn++++=work
of ^in++++=of
Jeffrey ^np++++=Jeffrey
Beall ^np+++??+=Beall
and ^cc++++=and
Cabells ^np+++??+=Cabells
International ^jj++++=International
has ^vbz+hvz+aux++=has
highlighted ^vprf+++xvbnx+=highlighted
the ^ati++++=the
necessity ^nn+nom+++=necessity
for ^in++++=for
effective ^jj+atrb+++=effective
mechanisms ^nns+nom+++=mechanisms
to ^to++++=to
verify ^vbi+vpub+++=verify
and ^cc+phrs+++=and
communicate ^nn+nom+++=communicate
journal ^nn++++=journal
compliance ^nn+nom+++=compliance
with ^in++++=with
scholarly ^jj+atrb+++=scholarly
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
open ^jj+atrb+++=open
access ^nn++++=access
publishing ^nn++++=publishing
and ^cc++++=and
increasing ^jj+atrb+++=increasing
global ^jj+atrb+++=global
participation ^nn+nom+++=participation
in ^in++++=in
research ^nn++++=research.
. ^zz++++=EXTRAWORD
