It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
possible ^jj++++=possible
to ^to+jcmp+++=to
identify ^vbi++++=identify
the ^ati++++=the
most ^ql+emph+++=most
widely ^rb++++=widely
distributed ^xvbn+++xvbn+=distributed
species ^nns++++=species,
, ^zz++++=EXTRAWORD
as ^ql++++=as
comprehensive ^jj+atrb+++=comprehensive
sampling ^nn+nom+++=sampling
across ^in+pl+++=across
all ^abn++++=all
ecoregions ^nns+++??+=ecoregions
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
conducted ^vpsv++agls+xvbnx+=conducted.
. ^zz++++=EXTRAWORD
Dring ^np+++??+=Dring
( ^zz++++=(1973)
1973 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Miller ^np++++=Miller
& ^zz++++=&
Miller ^np++++=Miller
( ^zz++++=(1988)
1988 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
estimated ^vwbn+vprv++xvbn+=estimated
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
approximately ^rb+down+++=approximately
one ^cd1++++=one
hundred ^cd++++=hundred
genera ^nns++++=genera
of ^in++++=of
gasteromycetes ^nns+++??+=gasteromycetes;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
diversity ^nn+nom+++=diversity
of ^in++++=of
this ^dt+dem+++=this
group ^nn++++=group
remains ^vbz++++=remains
underrepresented ^vbd+++xvbn+=underrepresented
in ^in++++=in
Paraguay ^np+++??+=Paraguay,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
15 ^cd++++=15
genera ^nns++++=genera
documented ^vpsv++agls+xvbn+=documented
in ^in++++=in
the ^ati++++=the
existing ^jj+atrb+++=existing
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
