These ^dt+dem+++=These
differences ^nns+nom+++=differences
have ^vb+hv+vrb++=have
the ^ati++++=the
following ^jj+atrb++xvbg+=following
practical ^jj+atrb+++=practical
implications ^nns+nom+++=implications:
: ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Keynesian ^np+++??+=Keynesian
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
capital ^nn++++=capital
controls ^nns++++=controls
should ^md+nec+++=should
be ^vb+be+aux++=be
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
permanent ^jj+atrb+++=permanent
instrument ^nn+nom+++=instrument
of ^in++++=of
economic ^jj+atrb+++=economic
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
that ^dt+dem+++=that
currency ^nn++++=currency
inconvertibility ^nn+nom+++=inconvertibility
may ^md+pos+++=may
persist ^nn+nom+++=persist
for ^in++++=for
an ^at++++=an
indeterminate ^jj+atrb+++=indeterminate
period ^nn++++=period.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
mainstream ^nn++++=mainstream
orthodox ^jj+atrb+++=orthodox
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies
should ^md+nec+++=should
be ^vb+be+aux++=be
employed ^vpsv++agls+xvbnx+=employed
only ^rb+down+++=only
on ^in++++=on
a ^at++++=a
temporary ^jj+atrb+++=temporary
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
in ^in++++=in
response ^nn++++=response
to ^in++++=to
surges ^nns++++=surges
in ^in++++=in
capital ^nn++++=capital
inflows ^nns++++=inflows
that ^tht+rel+subj++=that
could ^md+pos+++=could
increase ^vb++++=increase
financial ^jj+atrb+++=financial
risks ^nns++++=risks
and ^cc++++=and
lead ^nn++++=lead
to ^in++++=to
exchange ^nn++++=exchange
rate ^nn++++=rate
overvaluation ^nn+nom+++=overvaluation.
. ^zz++++=EXTRAWORD
