Live ^vb++++=Live-caught
- ^zz++++=EXTRAWORD
caught ^xvbn+++xvbn+=EXTRAWORD
insects ^nns++++=insects
are ^vb+ber+aux++=are
permanently ^rb++splt++=permanently
mounted ^vpsv++agls+xvbnx+=mounted
on ^in++++=on
glass ^nn++++=glass
microscope ^nn++++=microscope
slides ^nns++++=slides
and ^cc++++=and
preserved ^vpsv++agls+xvbn+=preserved
in ^in++++=in
either ^dtx++++=either
Berlese ^np+nom++??+=Berlese
medium ^jjb++++=medium
or ^cc++++=or
Canada ^np++++=Canada
Balsam ^np+++??+=Balsam,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
fossil ^nn++++=fossil
specimens ^nns++++=specimens
are ^vb+ber+aux++=are
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
plastic ^nn++++=plastic
vials ^nn++++=vials.
. ^zz++++=EXTRAWORD
All ^abn++++=All
Specimens ^nns++++=specimens
Are ^vb+ber+vrb++=are
Labeled ^jj+pred+++=labeled
With ^in++++=with
Color ^nn++++=color-coded
 ^zz++++=EXTRAWORD
Coded ^vpsv++agls+xvbn+=EXTRAWORD
Labels ^nns++++=labels.
 ^zz++++=EXTRAWORD
