The ^ati++++=The
sampling ^nn+nom+++=sampling
method ^nn++++=method
employed ^vbd+++xvbn+=employed
in ^in++++=in
the ^ati++++=the
10 ^cd++++=10
plots ^nns++++=plots
was ^vbd+bedz+aux++=was
adapted ^vpsv++agls+xvbnx+=adapted
from ^in++++=from
Braga ^np+++??+=Braga
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
involved ^vbd+++xvbn+=involved
collecting ^nvbg+++xvbg+=collecting
four ^cd++++=four
samples ^nns++++=samples
per ^nnu++++=per
plot ^np++++=plot
using ^vwbg+++xvbg+=using
a ^at++++=a
25 ^cd++++=25
cm ^nnu++++=cm
x ^zz++++=x
25 ^cd++++=25
cm ^nnu++++=cm
template ^nn+nom+++=template.
. ^zz++++=EXTRAWORD
Sampling ^nn+nom+++=Sampling
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
September ^nr+nom+++=September
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
transition ^nn+nom+++=transition
from ^in++++=from
the ^ati++++=the
dry ^jj+atrb+++=dry
season ^nn++++=season
to ^in++++=to
the ^ati++++=the
rainy ^jj+atrb+++=rainy
season ^nn++++=season,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
period ^nn++++=period
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
yield ^vbi++++=yield
greater ^jjr+atrb+++=greater
species ^nns++++=species
diversity ^nn+nom+++=diversity
in ^in++++=in
seed ^nn++++=seed
bank ^nn++++=bank
analyses ^nns++++=analyses
( ^zz++++=(Braga
braga ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
