Plants ^nns++++=Plants
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Vellozia ^np+++??+=Vellozia
( ^zz++++=(Velloziaceae)
velloziaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
distributed ^vpsv++agls+xvbnx+=distributed
in ^in++++=in
African ^jj++++=African
and ^cc++++=and
South ^nr+pl+++=South
American ^jj+atrb+++=American
savannahs ^nns+++??+=savannahs
and ^cc++++=and
are ^vb+ber+aux++=are
more ^rbr++splt++=more
commonly ^rb++++=commonly
found ^vbd+vprv++xvbn+=found
in ^in++++=in
open ^jj+atrb+++=open
vegetation ^nn+nom+++=vegetation
types ^nns++++=types,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
rupestrian ^jj+atrb+++=rupestrian
fields ^nns++++=fields
and ^cc++++=and
Cerrado ^np+++??+=Cerrado
stricto ^nn+++??+=stricto
sensu ^nn+++??+=sensu
( ^zz++++=(Ayensu
ayensu ^nn+++??+=EXTRAWORD
1969 ^cd+date+++=1969;
; ^zz++++=EXTRAWORD
Coetzee ^np+++??+=Coetzee
1974 ^cd+date+++=1974;
; ^zz++++=EXTRAWORD
Mello ^np+++??+=Mello-Silva
- ^zz++++=EXTRAWORD
silva ^np++++=EXTRAWORD
& ^zz++++=&
Menezes ^np+++??+=Menezes
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Batista ^np+++??+=Batista
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
species ^nns++++=species
exhibit ^vb++++=exhibit
high ^jj+atrb+++=high
resistance ^nn+nom+++=resistance
to ^in++++=to
fire ^nn++++=fire
and ^cc++++=and
drought ^nn++++=drought
( ^zz++++=(Owoseye
owoseye ^nn+++??+=EXTRAWORD
& ^zz++++=&
Sanford ^np+++??+=Sanford
1972 ^cd+date+++=1972)
) ^zz++++=EXTRAWORD
and ^cc++++=and
possess ^nns+nom+++=possess
stems ^nns++++=stems
capable ^jj++++=capable
of ^in++++=of
absorbing ^xvbg+++xvbg+=absorbing
water ^nn++++=water
( ^zz++++=(Oliveira
oliveira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Vellozia ^np+++??+=Vellozia
species ^nn++++=species
frequently ^rb++++=frequently
produce ^vb++++=produce
resins ^nns+++??+=resins
and ^cc++++=and
various ^jj+atrb+++=various
secondary ^jj+atrb+++=secondary
metabolites ^nns++++=metabolites
with ^in++++=with
medicinal ^jj++++=medicinal
potential ^jj++++=potential
( ^zz++++=(Quintao
quintao ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
compounds ^nns++++=compounds
that ^tht+rel+subj++=that
inhibit ^vb++++=inhibit
snake ^nn++++=snake
venom ^nn++++=venom
activity ^nn+nom+++=activity
( ^zz++++=(Tribuiani
tribuiani ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
species ^nn++++=species
are ^vb+ber+aux++=are
cultivated ^vpsv++agls+xvbnx+=cultivated
as ^ql++++=as
ornamentals ^nns+nom+++=ornamentals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
likely ^jj++++=likely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
large ^jj+atrb+++=large,
, ^zz++++=EXTRAWORD
conspicuous ^jj+atrb+++=conspicuous
flowers ^nns+nom+++=flowers
and ^cc++++=and
distinctive ^jj+atrb+++=distinctive
architecture ^nn++++=architecture
( ^zz++++=(Souza
souza ^nn+++??+=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
populations ^nns+nom+++=populations
of ^in++++=of
Vellozia ^np+++??+=Vellozia
are ^vb+ber+aux++=are
threatened ^vpsv++by+xvbnx+=threatened
by ^in++++=by
extractive ^jj+atrb+++=extractive
activities ^nns+nom+++=activities
and ^cc++++=and
the ^ati++++=the
expansion ^nn++++=expansion
of ^in++++=of
agricultural ^jj+atrb+++=agricultural
land ^nn++++=land.
. ^zz++++=EXTRAWORD
