Because ^cs+cos+++=Because
the ^ati++++=the
first ^od++++=first
question ^nn+nom+++=question
is ^vbz+bez+aux++=is
immediately ^rb+tm+splt++=immediately
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
another ^dt++++=another
question ^nn+nom+++=question
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
direct ^jj+atrb+++=direct
response ^nn++++=response,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
that ^tht+vcmp+++=that
the ^ati++++=the
interlocutor ^nn++++=interlocutor
is ^vbz+bez+aux++=is
attempting ^vbg+++xvbgx+=attempting
to ^to+vcmp+++=to
gain ^vbi++++=gain
additional ^jj+atrb+++=additional
time ^nn++++=time
before ^in++++=before
providing ^xvbg+++xvbg+=providing
an ^at++++=an
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
these ^dt+dem+++=These
cases ^nns++++=cases
are ^vb+ber+aux++=are
illustrated ^vpsv++agls+xvbn+=illustrated
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
