As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Paiva ^np+++??+=Paiva
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
informal ^jj+atrb+++=informal
written ^jj+atrb++xvbn+=written
language ^nn+nom+++=language
is ^vbz+bez+aux++=is
increasingly ^rb++splt++=increasingly
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
multimodality ^nn+nom+++=multimodality.
. ^zz++++=EXTRAWORD
Paiva ^np+++??+=Paiva
s ^zz++++=s
analysis ^nn++++=analysis
of ^in++++=of
emojis ^nns+++??+=emojis
in ^in++++=in
social ^jj+atrb+++=social
media ^nn++++=media
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
use ^nn++++=use
represents ^vbz++++=represents
an ^at++++=an
effort ^nn++++=effort
to ^to+ncmp+++=to
convey ^vbi++++=convey
meaning ^nvbg+++xvbg+=meaning
efficiently ^rb++++=efficiently
in ^in++++=in
certain ^jj+atrb+++=certain
communicative ^jj+atrb+++=communicative
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
development ^nn+nom+++=development
of ^in++++=of
emojis ^nns+++??+=emojis,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
conjunction ^nn+nom+++=conjunction
with ^in++++=with
mobile ^jj+atrb+++=mobile
applications ^nns+nom+++=applications
and ^cc++++=and
integrated ^vbd+++xvbn+=integrated
emoji ^nn+++??+=emoji
keyboards ^nns+++??+=keyboards,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
significantly ^rb++splt++=significantly
influenced ^vprf+++xvbnx+=influenced
communication ^nn+nom+++=communication
practices ^nns++++=practices
on ^in++++=on
platforms ^nns++++=platforms
such ^abl++++=such
as ^ql++++=as
Twitter ^np+++??+=Twitter,
, ^zz++++=EXTRAWORD
Whatsapp ^np+++??+=WhatsApp,
, ^zz++++=EXTRAWORD
Instagram ^np+++??+=Instagram,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Facebook ^np+++??+=Facebook.
. ^zz++++=EXTRAWORD
An ^at++++=An
expanding ^jj+atrb++xvbg+=expanding
body ^nn++++=body
of ^in++++=of
research ^nn++++=research
is ^vbz+bez+aux++=is
