Regarding ^in++++=Regarding
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+++=think"
" ^zz++++=EXTRAWORD
in ^in++++=in
Excerpt ^np+++??+=Excerpt
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
these ^dt+dem+++=these
expressions ^nns++++=expressions
serve ^vb++++=serve
the ^ati++++=the
same ^ap++++=same
functions ^nns+nom+++=functions
as ^in++++=as
observed ^nn++++=observed
in ^in++++=in
Excerpt ^np+++??+=Excerpt
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
act ^nn++++=act
as ^ql++++=as
mitigation ^nn+nom+++=mitigation
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
the ^ati++++=the
speaker ^nn++++=speaker
to ^to++++=to
reduce ^vbi++++=reduce
their ^pp$+pp3+++=their
responsibility ^nn+nom+++=responsibility
for ^in++++=for
the ^ati++++=the
statements ^nns+nom+++=statements
made ^vbd+++xvbn+=made.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
function ^nn+nom+++=function
of ^in++++=of
such ^abl++++=such
markers ^nns+nom+++=markers
is ^vbz+bez+aux++=is
to ^to++++=to
mitigate ^nn+nom+++=mitigate
and ^cc+phrs+++=and
protect ^vb++++=protect
the ^ati++++=the
speaker ^npt++++=speaker
s ^zz++++=s
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
subtly ^rb++++=subtly
convey ^vb++++=convey
opinions ^nns++++=opinions
that ^tht+ncmp+subj++=that
are ^vb+ber+aux++=are
semantically ^rb++splt++=semantically
loaded ^vpsv++agls+xvbnx+=loaded
with ^in++++=with
ideological ^jj+atrb+++=ideological
values ^nns++++=values
and ^cc++++=and
reflect ^vb+vprv+++=reflect
differing ^jj+atrb++xvbg+=differing
interactional ^jj+atrb+++=interactional
goals ^nns++++=goals.
. ^zz++++=EXTRAWORD
Markers ^nns+nom++??+=Markers
such ^abl++++=such
as ^in++++=as
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
( ^zz++++=(that)",
that) ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
