Cross ^jj++++=Cross-country
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
studies ^nns++++=studies
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
capital ^nn++++=capital
flow ^nn++++=flow
management ^nn+nom+++=management
measures ^nns++++=measures
( ^zz++++=(CFMs)
cfms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
relatively ^rb++++=relatively
effective ^jj+pred+++=effective
in ^in++++=in
enhancing ^xvbg+++xvbg+=enhancing
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
extending ^vbg+++xvbg+=extending
the ^ati++++=the
maturity ^nn+nom+++=maturity
of ^in++++=of
external ^jj+atrb+++=external
liabilities ^nns+nom+++=liabilities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mitigating ^vbg+++xvbg+=mitigating
credit ^nn++++=credit
booms ^nns+++??+=booms,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
latter ^ap++++=latter
objective ^nn++++=objective
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
achieved ^vpsv++agls+xvbnx+=achieved
through ^in++++=through
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
evidence ^nn+nom+++=evidence
regarding ^in++++=regarding
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
Cfms ^np+++??+=CFMs
in ^in++++=in
countering ^xvbg+++xvbg+=countering
exchange ^nn++++=exchange
rate ^nn++++=rate
appreciation ^nn+nom+++=appreciation
pressures ^nns++++=pressures
is ^vbz+bez+aux++=is
mixed ^vpsv++agls+xvbnx+=mixed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited
support ^nn++++=support
for ^in++++=for
their ^pp$+pp3+++=their
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
significantly ^rb++splt++=significantly
reduce ^vbi++++=reduce
the ^ati++++=the
net ^jjb+atrb+++=net
volume ^nn++++=volume
of ^in++++=of
capital ^nn++++=capital
flows ^nns++++=flows.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
are ^vb+ber+aux++=are
primarily ^rb+down+splt++=primarily
drawn ^vpsv++agls+xvbnx+=drawn
from ^in++++=from
the ^ati++++=the
works ^nn++++=works
of ^in++++=of
Magud ^np+++??+=Magud
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Habermeier ^np+nom++??+=Habermeier
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Fern ^np+++??+=Fern
ndez ^nn+++??+=ndez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Aizenman ^np+nom++??+=Aizenman
and ^cc++++=and
Binici ^np+++??+=Binici
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pasricha ^np+++??+=Pasricha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Forbes ^np++++=Forbes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016).
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
1 ^zz++++=1
summarizes ^vbz++++=summarizes
the ^ati++++=the
main ^jjb+atrb+++=main
conclusions ^nns++++=conclusions
on ^in++++=on
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
Cfms ^np+++??+=CFMs
as ^in++++=as
identified ^nn++++=identified
through ^in++++=through
the ^ati++++=the
joint ^jjb+atrb+++=joint
analysis ^nn++++=analysis
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
