Since ^rb++++=Since
its ^pp$+it+++=its
introduction ^nn+nom+++=introduction
to ^in++++=to
the ^ati++++=the
market ^nn++++=market
in ^in++++=in
2009 ^cd++++=2009,
, ^zz++++=EXTRAWORD
Whatsapp ^np+++??+=WhatsApp
has ^vbz+hvz+aux++=has
experienced ^vprf+++xvbnx+=experienced
sustained ^vprf+++xvbn+=sustained
growth ^nn++++=growth
in ^in++++=in
popularity ^nn+nom+++=popularity.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
application ^nn+nom+++=application
was ^vbd+bedz+aux++=was
initially ^rb+tm+splt++=initially
used ^vpsv++agls+xvbnx+=used
primarily ^rb+down+++=primarily
for ^in++++=for
communication ^nn+nom+++=communication
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
since ^cs+sub+++=since
demonstrated ^vbd+vprv++xvbn+=demonstrated
potential ^jj++++=potential
as ^ql++++=as
a ^at++++=a
tool ^nn++++=tool
for ^in++++=for
mediating ^jj+atrb+++=mediating
educational ^jj+atrb+++=educational
experiences ^nns+nom+++=experiences.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
ubiquity ^nn+nom+++=ubiquity
and ^cc++++=and
mobility ^nn+nom+++=mobility,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
features ^nns++++=features
that ^tht+rel+subj++=that
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
creation ^nn+nom+++=creation
and ^cc++++=and
sharing ^nvbg+++xvbg+=sharing
of ^in++++=of
oral ^jj++++=oral,
, ^zz++++=EXTRAWORD
written ^j+++xvbn+=written,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
multimedia ^nn+++??+=multimedia
content ^nn++++=content,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
reply ^vb++++=reply
to ^to++++=to
and ^cc++++=and
forward ^jj+atrb+++=forward
messages ^nns+nom+++=messages,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
attracted ^vprf+++xvbnx+=attracted
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
educators ^nns++++=educators,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
language ^nn+nom+++=language
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
increasingly ^rb++splt++=increasingly
integrating ^vbg+++xvbg+=integrating
whatsapp ^np++++=WhatsApp
into ^in++++=into
teaching ^nn++++=teaching
and ^cc++++=and
learning ^nn++++=learning
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
