The ^ati++++=The
implementation ^nn+nom+++=implementation
of ^in++++=of
an ^at++++=an
economic ^jj+atrb+++=economic
model ^nn++++=model
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
rational ^jj+atrb+++=rational
use ^nn++++=use
of ^in++++=of
biodiversity ^nn+nom+++=biodiversity
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
enhance ^nn+nom+++=enhance
the ^ati++++=the
health ^nn++++=health
of ^in++++=of
terrestrial ^jj+atrb+++=terrestrial
ecosystems ^nns+++??+=ecosystems
and ^cc++++=and
support ^nn++++=support
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
preservation ^nn+nom+++=preservation
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Philp ^np+++??+=Philp
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
current ^jj+atrb+++=current
model ^nn++++=model's
's ^vbz+bez+vrb++0=EXTRAWORD
unsustainable ^jj+atrb+++=unsustainable
practices ^nns++++=practices
are ^vb+ber+vrb++=are
incompatible ^jj+pred+++=incompatible
with ^in++++=with
the ^ati++++=the
continued ^jj+atrb+++=continued
maintenance ^nn+nom+++=maintenance
of ^in++++=of
life ^nn++++=life
over ^in++++=over
extended ^vbd+++xvbn+=extended
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
