A ^at++++=A
double ^jj+atrb+++=double
seed ^nn++++=seed
coat ^nn++++=coat
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
a ^at++++=a
positive ^jj+atrb+++=positive
reaction ^nn+nom+++=reaction
to ^in++++=to
toluidine ^nn+++??+=toluidine
blue ^jj+atrb+++=blue
O ^zz++++=O
( ^zz++++=(TBO)
tbo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
staining ^nn++++=staining.
. ^zz++++=EXTRAWORD
The ^ati++++=The
external ^jj+atrb+++=external
seed ^nn++++=seed
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
testa ^nn+++??+=testa,
, ^zz++++=EXTRAWORD
displayed ^j+++xvbn+=displayed
a ^at++++=a
dark ^jj+atrb+++=dark
green ^nn++++=green
coloration ^nn+nom+++=coloration,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
indicative ^jj+pred+++=indicative
of ^in++++=of
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
tannic ^jj+atrb+++=tannic
compounds ^nns++++=compounds
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1b ^cd++++=1b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
internal ^jj+atrb+++=internal
seed ^nn++++=seed
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tegmen ^jj+++xvbn+=tegmen,
, ^zz++++=EXTRAWORD
exhibited ^j+++xvbn+=exhibited
a ^at++++=a
greenish ^jj+atrb+++=greenish
coloration ^nn+nom+++=coloration,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
phenolic ^jj+atrb+++=phenolic
composition ^nn+nom+++=composition,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
plumose ^nn+++??+=plumose
appendages ^nns+nom+++=appendages
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
purple ^jj+atrb+++=purple
coloration ^nn+nom+++=coloration,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
high ^jj+atrb+++=high
pectin ^nn++++=pectin
content ^nn++++=content
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1b ^cd++++=1b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
