Workers ^nns+nom+++=Workers
with ^in++++=with
a ^at++++=a
completed ^jj+++xvbn+=completed
college ^npl++++=college
education ^nn+nom+++=education
and ^cc++++=and
those ^dt+dem+++=those
employed ^jj+++xvbn+=employed
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector
exhibited ^vbd+++xvbn+=exhibited
notably ^rb++++=notably
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
participation ^nn+nom+++=participation
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work,
, ^zz++++=EXTRAWORD
with ^in++++=with
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
compared ^vbd+++xvbn+=compared
to ^in++++=to
individuals ^nns+nom+++=individuals
with ^in++++=with
lower ^jjr+atrb+++=lower
educational ^jj+atrb+++=educational
attainment ^nn+nom+++=attainment
and ^cc++++=and
those ^dt+dem+++=those
in ^in++++=in
other ^ap++++=other
employment ^nn+nom+++=employment
sectors ^nns++++=sectors.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
direct ^jj++++=direct,
, ^zz++++=EXTRAWORD
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
monotonic ^jj+atrb+++=monotonic
relationship ^nn+nom+++=relationship
between ^in++++=between
remote ^jj+atrb+++=remote
work ^nn++++=work
participation ^nn+nom+++=participation
and ^cc++++=and
labor ^nn++++=labor
income ^nn++++=income,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
workers ^nns+nom+++=workers
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
remote ^nn++++=remote
work ^vb++++=work
increased ^vbd+++xvbn+=increased
markedly ^rb++++=markedly
from ^in++++=from
the ^ati++++=the
60th ^cd++++=60th
income ^nn++++=income
percentile ^nn+++??+=percentile
and ^cc++++=and
accelerated ^vbd+++xvbn+=accelerated
further ^jjb++++=further
from ^in++++=from
the ^ati++++=the
80th ^cd++++=80th
percentile ^nn++++=percentile
onward ^jjb++++=onward.
. ^zz++++=EXTRAWORD
