A ^at++++=A
recent ^jj++++=recent
high ^jj++++=high-profile
- ^zz++++=EXTRAWORD
profile ^nn++++=EXTRAWORD
scandal ^nn++++=scandal
involving ^vwbg+++xvbg+=involving
editors ^nns++++=editors
affiliated ^vbd+++xvbn+=affiliated
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
institution ^nn+nom+++=institution
as ^in++++=as
the ^ati++++=the
authors ^nns++++=authors
prompted ^vbd+++xvbn+=prompted
Locher ^np+++??+=Locher
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
propose ^vbi++++=propose
an ^at++++=an
authorship ^nn+nom+++=authorship
concentration ^nn+nom+++=concentration
index ^nn++++=index,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
articles ^nns++++=articles
authored ^vwbn+++xvbn+=authored
by ^in++++=by
the ^ati++++=the
most ^ql+emph+++=most
prolific ^jj+atrb+++=prolific
contributor ^nn++++=contributor,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
indicator ^nn++++=indicator
of ^in++++=of
endogeneity ^nn+nom+++=endogeneity
in ^in++++=in
academic ^jj+atrb+++=academic
publishing ^nvbg+++xvbg+=publishing.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
Scanff ^np+++??+=Scanff
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
introduced ^xvbn+++xvbn+=introduced
a ^at++++=a
second ^od++++=second
metric ^nn++++=metric,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Gini ^np+++??+=Gini
coefficient ^nn++++=coefficient
of ^in++++=of
inequality ^nn+nom+++=inequality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
validated ^vwbn+++xvbn+=validated
both ^abx++++=both
indices ^nns++++=indices
using ^vwbg+++xvbg+=using
a ^at++++=a
representative ^jj+atrb+++=representative
sample ^nn++++=sample
of ^in++++=of
journals ^nns+nom+++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Medline ^np+++??+=MEDLINE.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
findings ^nns++++=findings
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
when ^wrb+who+++=when
either ^dtx++++=either
index ^nn++++=index
exceeded ^vbd+++xvbn+=exceeded
the ^ati++++=the
95th ^cd++++=95th
percentile ^nn+++??+=percentile,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
prolific ^jj+atrb+++=prolific
author ^nn++++=author
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
member ^nn++++=member
