Leaves ^nns++++=Leaves
from ^in++++=from
plants ^nns++++=plants
cultivated ^vbd+++xvbn+=cultivated
under ^in++++=under
in ^in++++=in
vitro ^nn+++??+=vitro
conditions ^nns+nom+++=conditions
exhibit ^vb++++=exhibit
characteristic ^jj+atrb+++=characteristic
effects ^nns++++=effects
of ^in++++=of
shading ^xvbg+++xvbg+=shading,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
reported ^vbd+vpub++xvbn+=reported
( ^zz++++=(Barboza
barboza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
Chaari ^np+++??+=Chaari-Rkhis
- ^zz++++=EXTRAWORD
rkhis ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Ziv ^np+++??+=Ziv
& ^zz++++=&
Chen ^np+++??+=Chen
2008 ^cd++++=2008),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
underdeveloped ^jj+atrb+++=underdeveloped
anatomical ^jj+atrb+++=anatomical
structures ^nns++++=structures
such ^abl++++=such
as ^ql++++=as
stomata ^vb+++??+=stomata.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
ultrastructural ^jj+atrb+++=ultrastructural
characteristics ^nns++++=characteristics
commonly ^rb++++=commonly
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
shaded ^xvbn+++xvbn+=shaded
leaves ^nns++++=leaves
include ^vb++++=include
reduced ^vbd+++xvbn+=reduced
cytoplasmic ^jj+atrb+++=cytoplasmic
content ^nn++++=content,
, ^zz++++=EXTRAWORD
chloroplasts ^nns+++??+=chloroplasts
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
flattened ^vpsv++agls+xvbnx+=flattened
with ^in++++=with
irregularly ^nn++++=irregularly
organized ^vbd+++xvbn+=organized
internal ^jj+atrb+++=internal
membrane ^nn++++=membrane
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
proportion ^nn+nom+++=proportion
of ^in++++=of
intercellular ^nn+++??+=intercellular
spaces ^nns++++=spaces
( ^zz++++=(Wetzstein
wetzstein ^nn+++??+=EXTRAWORD
& ^zz++++=&
Sommer ^np+++??+=Sommer
1982 ^cd+date+++=1982;
; ^zz++++=EXTRAWORD
Chirin ^np+++??+=Chirin
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
several ^ap++++=several
of ^in++++=of
these ^dt+dem+++=these
features ^nns++++=features
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
including ^in++++=including
qualitative ^jj+atrb+++=qualitative
modifications ^nns+nom+++=modifications
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
aquiferous ^jj+atrb+++=aquiferous
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
subepidermal ^jj+atrb+++=subepidermal
sclerenchyma ^nn++++=sclerenchyma
fascicles ^nns++++=fascicles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stomatal ^jj+atrb+++=stomatal
crypts ^nns++++=crypts.
. ^zz++++=EXTRAWORD
