During ^in++++=During
the ^ati++++=the
examination ^nn+nom+++=examination
of ^in++++=of
these ^dt+dem+++=these
two ^cd++++=two
new ^jj+atrb+++=new
species ^nns++++=species,
, ^zz++++=EXTRAWORD
two ^cd++++=two
small ^jj+atrb+++=small
sclerotized ^jj+atrb++xvbn+=sclerotized
structures ^nns++++=structures
not ^xnot++not++=not
previously ^rb+tm+++=previously
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
the ^ati++++=the
descriptions ^nns+nom+++=descriptions
of ^in++++=of
Bagrobdella ^np+++??+=Bagrobdella
species ^nn++++=species
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
structures ^nns++++=structures
are ^vb+ber+vrb++=are:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
a ^at++++=a
button ^nn++++=button-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
element ^nn+nom+++=element
located ^vwbn+++xvbn+=located
between ^in++++=between
the ^ati++++=the
bar ^nn++++=bar
and ^cc++++=and
ventral ^jj+atrb+++=ventral
anchors ^nns++++=anchors
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
14 ^cd++++=14),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
a ^at++++=a
semi ^nn+++??+=semi-circular
- ^zz++++=EXTRAWORD
circular ^jj+atrb+++=EXTRAWORD
structure ^nn++++=structure
situated ^vwbn+++xvbn+=situated
at ^rb++++=at
the ^ati++++=the
apex ^nn++++=apex
of ^in++++=of
the ^ati++++=the
ventral ^jj+atrb+++=ventral
bar ^nn++++=bar
median ^jjb+atrb+++=median
projection ^nn+nom+++=projection
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
15 ^cd++++=15).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
accurately ^rb++splt++=accurately
characterize ^vbi++++=characterize
their ^pp$+pp3+++=their
detailed ^jj+atrb+++=detailed
morphology ^nn++++=morphology
and ^cc++++=and
potential ^jj+atrb+++=potential
function ^nn+nom+++=function,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
analysis ^nn++++=analysis
using ^vwbg+++xvbg+=using
fresh ^jj+atrb+++=fresh
material ^nn++++=material
or ^cc++++=or
scanning ^vbg+++xvbg+=scanning
electron ^nn++++=electron
microscopy ^nn++++=microscopy
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
structures ^nns++++=structures
were ^vbd+bed+aux++=were
not ^xnot++not++=not
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
formal ^jj+atrb+++=formal
descriptions ^nns+nom+++=descriptions
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
new ^jj+atrb+++=new
species ^nns++++=species.
. ^zz++++=EXTRAWORD
