Since ^in++++=Since
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Gpb ^np+++??+=GPB
has ^vbz+hvz+aux++=has
provided ^vprf+++xvbnx+=provided
free ^jj+atrb+++=free
Play ^nn++++=Play
and ^cc++++=and
Talk ^nn++++=Talk
workshops ^nns++++=workshops
in ^in++++=in
multiple ^jj+atrb+++=multiple
languages ^nns+nom+++=languages
and ^cc++++=and
time ^nn++++=time
zones ^nns++++=zones
worldwide ^nn+++??+=worldwide.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Gpb ^np+++??+=GPB
Mission ^nn++++=Mission,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
sessions ^nns++++=sessions
are ^vb+ber+aux++=are
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
facilitate ^nn+nom+++=facilitate
opportunities ^nns+nom+++=opportunities
for ^in++++=for
participants ^nns+nom+++=participants
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
play ^nn++++=play,
, ^zz++++=EXTRAWORD
improvisation ^nn+nom+++=improvisation,
, ^zz++++=EXTRAWORD
personal ^jj+atrb+++=personal
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
collaborative ^jj+atrb+++=collaborative
storytelling ^nn+nom+++=storytelling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
workshops ^nns++++=workshops
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
platform ^nn++++=platform
for ^in++++=for
sharing ^xvbg+++xvbg+=sharing
experiences ^nns+nom+++=experiences
and ^cc++++=and
listening ^nvbg+++xvbg+=listening
to ^in++++=to
others ^aps++++=others,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
during ^in++++=during
periods ^nns++++=periods
of ^in++++=of
crisis ^nn++++=crisis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Gpb ^np+++??+=GPB
has ^vbz+hvz+aux++=has
sought ^vprf+++xvbnx+=sought
to ^to++++=to
include ^vbi++++=include
participants ^nns+nom+++=participants
of ^in++++=of
all ^abn++++=all
ages ^nns++++=ages
in ^in++++=in
a ^at++++=a
virtual ^jj+atrb+++=virtual
format ^nn++++=format,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
limitations ^nns+nom+++=limitations
on ^in++++=on
physical ^jj+atrb+++=physical
gatherings ^nns+++??+=gatherings,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
fostering ^xvbg+++xvbg+=fostering
experiences ^nns+nom+++=experiences
of ^in++++=of
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
reflection ^nn+nom+++=reflection,
, ^zz++++=EXTRAWORD
creativity ^nn+nom+++=creativity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emotional ^jj+atrb+++=emotional
connection ^nn+nom+++=connection
through ^in++++=through
play ^nn++++=play.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
aims ^vb++++=aims
to ^to+vcmp+++=to
enable ^vbi++++=enable
participants ^nns+nom+++=participants
to ^in++++=to
effect ^nn++++=effect
change ^nn++++=change
in ^in++++=in
their ^pp$+pp3+++=their
immediate ^jj+atrb+++=immediate
circumstances ^nns+nom+++=circumstances
while ^cs+sub+++=while
also ^rb++++=also
contributing ^vbg+++xvbg+=contributing
to ^in++++=to
longer ^rbr++++=longer-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
positive ^jj+atrb+++=positive
outcomes ^nns++++=outcomes.
. ^zz++++=EXTRAWORD
