As ^in++++=As
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
ongoing ^jj+++xvbg+=ongoing
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
of ^in++++=of
adolescents ^nns++++=adolescents
who ^whp+rel+subj++=who
expressed ^vbd+vpub++xvbn+=expressed
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
pursuing ^xvbg+++xvbg+=pursuing
a ^at++++=a
career ^nn++++=career
in ^in++++=in
health ^nn++++=health
sciences ^nns+nom+++=sciences
or ^cc++++=or
in ^in++++=in
natural ^jj+atrb+++=natural
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
mathematics ^nn++++=mathematics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
statistics ^nns++++=statistics
reported ^vbd+vpub++xvbn+=reported
an ^at++++=an
improved ^jj+atrb++xvbn+=improved
perception ^nn+nom+++=perception
of ^in++++=of
health ^nn++++=health
workers ^nns+nom+++=workers
and ^cc++++=and
scientists ^nns+nom+++=scientists,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
