Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
arguments ^nns+nom+++=arguments
and ^cc++++=and
data ^nns++++=data
presented ^vwbn+++xvbn+=presented,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
concluded ^vpsv++agls+xvbnx+=concluded
that ^tht+vcmp+++=that
mimetic ^jj+atrb+++=mimetic
behavior ^nn++++=behavior
plays ^nns++++=plays
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
experience ^nn+nom+++=experience
facilitated ^vwbn+++xvbn+=facilitated
by ^in++++=by
Usr ^np+++??+=USR
and ^cc++++=and
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
significant ^jj+atrb+++=significant
resource ^nn++++=resource
for ^in++++=for
the ^ati++++=the
moral ^jj+atrb+++=moral
development ^nn+nom+++=development
of ^in++++=of
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
Benjamin ^np++++=Benjamin's
's ^$++++=EXTRAWORD
( ^zz++++=(1985)
1985 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
resource ^nn++++=resource
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
engage ^vbi++++=engage
the ^ati++++=the
aesthetic ^jj+atrb+++=aesthetic
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
undervalued ^vpsv++agls+xvbnx+=undervalued
in ^in++++=in
formal ^jj+atrb+++=formal
education ^nn+nom+++=education
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
importance ^nn+nom+++=importance
increases ^nns++++=increases
in ^in++++=in
environments ^nns+nom+++=environments
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
the ^ati++++=the
proliferation ^nn+nom+++=proliferation
of ^in++++=of
control ^nn++++=control
norms ^nns++++=norms
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
often ^rb++splt++=often
disconnected ^vpsv++agls+xvbnx+=disconnected
from ^in++++=from
the ^ati++++=the
interests ^nns++++=interests
and ^cc++++=and
needs ^nns++++=needs
of ^in++++=of
the ^ati++++=the
chs ^np++++=CHS
field ^nn++++=field.
. ^zz++++=EXTRAWORD
