Although ^cs+con+++=Although
the ^ati++++=the
two ^cd++++=two-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
the ^ati++++=the
adjacency ^nn+++??+=adjacency
pair ^nn++++=pair
of ^in++++=of
" ^zz++++="question/answer,"
question ^nn+nom+++=EXTRAWORD
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
frequent ^jj++++=frequent
in ^in++++=in
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
a ^at++++=a
three ^cd++++=three-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
structure ^nn++++=structure
is ^vbz+bez+aux++=is
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Birmingham ^np++++=Birmingham
Discourse ^nn++++=Discourse
Analysis ^nn++++=Analysis
model ^nn++++=model
proposes ^vbz+vsua+++=proposes
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
a ^at++++=a
three ^cd++++=three-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
structure ^nn++++=structure
rather ^rb++++=rather
than ^in++++=than
limiting ^xvbg+++xvbg+=limiting
analysis ^nn++++=analysis
to ^to++++=to
two ^cd++++=two
parts ^nns++++=parts.
. ^zz++++=EXTRAWORD
Coulthard ^np+++??+=Coulthard
and ^cc++++=and
Brazil ^np++++=Brazil
( ^zz++++=(1992,
1992 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
66 ^cd++++=66)
) ^zz++++=EXTRAWORD
contend ^vb+vpub+++=contend
that ^tht+vcmp+++=that
" ^zz++++="all
all ^abn++++=EXTRAWORD
eliciting ^jj+atrb++xvbg+=eliciting
exchanges ^nns++++=exchanges
have ^vb+hv+vrb++=have
the ^ati++++=the
potential ^nn++++=potential
of ^in++++=of
a ^at++++=a
three ^cd++++=three-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
accepting ^vb+++xvbg+=accepting
that ^tht+vcmp+++=that
a ^at++++=a
two ^cd++++=two-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
realization ^nn+nom+++=realization
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
polar ^jj+atrb+++=polar
responses ^nns++++=responses
often ^rb++++=often
does ^vbz+doz+aux++=does,
, ^zz++++=EXTRAWORD
occur ^vb++++=occur."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
demonstrated ^nn++++=demonstrated
in ^in++++=in
the ^ati++++=the
general ^jj+atrb+++=general
practitioner ^nn+nom+++=practitioner
consultation ^nn+nom+++=consultation
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
three ^cd++++=three-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
exchanges ^nns++++=exchanges
are ^vb+ber+vrb++=are
not ^xnot++not++=not
uncommon ^jj++++=uncommon.
. ^zz++++=EXTRAWORD
