Several ^ap++++=Several
strategies ^nns+++??+=strategies
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
enhance ^nn+nom+++=enhance
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
and ^cc++++=and
conservation ^nn+nom+++=conservation
of ^in++++=of
Bromeliads ^np+++??+=Bromeliads.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
reitzii ^nn+++??+=reitzii,
, ^zz++++=EXTRAWORD
biotechnological ^jj+atrb+++=biotechnological
approaches ^nns++++=approaches
such ^abl++++=such
as ^in++++=as
in ^in"++++=in
vitro ^nn+++??+=vitro
cultivation ^nn+nom+++=cultivation
and ^cc++++=and
the ^ati++++=the
production ^nn+nom+++=production
of ^in++++=of
nodular ^nn+++??+=nodular
cultures ^nns++++=cultures
( ^zz++++=(NCs)
ncs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
utilized ^vpsv++agls+xvbnx+=utilized
as ^ql++++=as
conservation ^nn+nom+++=conservation
tools ^nns++++=tools.
. ^zz++++=EXTRAWORD
Ncs ^np+++??+=NCs
represent ^vb++++=represent
a ^at++++=a
morphogenic ^jj+atrb+++=morphogenic
response ^nn++++=response
with ^in++++=with
high ^jj+atrb+++=high
regenerative ^jj+atrb+++=regenerative
capacity ^nn+nom+++=capacity,
, ^zz++++=EXTRAWORD
demonstrated ^vpbn+vprv++xvbn+=demonstrated
by ^in++++=by
their ^pp$+pp3+++=their
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
generate ^nn+nom+++=generate
over ^in++++=over
5,300 ^cd++++=5,300
microshoots ^nns+++??+=microshoots
per ^nnu++++=per
gram ^nn+++??+=gram
within ^in++++=within
10 ^cd++++=10
weeks ^nns++++=weeks
of ^in++++=of
cultivation ^nn+nom+++=cultivation,
, ^zz++++=EXTRAWORD
originating ^jj+++xvbg+=originating
from ^in++++=from
either ^dtx++++=either
the ^ati++++=the
leaf ^nn++++=leaf
base ^nn++++=base
( ^zz++++=(Dal
dal ^np++++=EXTRAWORD
Vesco ^np+++??+=Vesco
& ^zz++++=&
Guerra ^np+++??+=Guerra
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
Guerra ^np+++??+=Guerra
& ^zz++++=&
Dal ^np++++=Dal
Vesco ^np+++??+=Vesco
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
Dal ^np++++=Dal
Vesco ^np+++??+=Vesco
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014a ^cd++++=2014a)
) ^zz++++=EXTRAWORD
or ^cc++++=or
seeds ^nns++++=seeds
( ^zz++++=(Dal
dal ^np++++=EXTRAWORD
Vesco ^np+++??+=Vesco
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014b ^cd++++=2014b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
has ^vbz+hvz+aux++=has
included ^vprf+++xvbnx+=included
morphological ^jj+atrb+++=morphological
and ^cc+phrs+++=and
histochemical ^jj+atrb+++=histochemical
characterization ^nn+nom+++=characterization
of ^in++++=of
Nc ^np+++??+=NC
induction ^nn+nom+++=induction
and ^cc++++=and
origin ^nn++++=origin
( ^zz++++=(Corredor-Prado
corredor ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
prado ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
proteomic ^jj+atrb+++=proteomic
analyses ^nns++++=analyses
and ^cc++++=and
identification ^nn+nom+++=identification
of ^in++++=of
differentially ^rb++++=differentially
expressed ^vbn+vpub++xvbn+=expressed
proteins ^nns+++??+=proteins
during ^in++++=during
Nc ^np+++??+=NC
induction ^nn+nom+++=induction
and ^cc++++=and
regeneration ^nn+nom+++=regeneration
( ^zz++++=(Corredor-Prado
corredor ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
prado ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
investigations ^nns+nom+++=investigations
into ^in++++=into
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
protein ^nn++++=protein,
, ^zz++++=EXTRAWORD
carbohydrate ^nn+nom+++=carbohydrate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
global ^jj+atrb+++=global
Dna ^np+++??+=DNA
methylation ^nn+nom+++=methylation
levels ^nns++++=levels
during ^in++++=during
Nc ^np+++??+=NC
induction ^nn+nom+++=induction
( ^zz++++=(Corredor-Prado
corredor ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
prado ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
