It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
so ^ql++++=so-prefaced
- ^zz++++=EXTRAWORD
prefaced ^jj+atrb++xvbn+=EXTRAWORD
questions ^nns+nom+++=questions
and ^cc++++=and
the ^ati++++=the
markers ^nns+nom+++=markers
" ^zz++++="correct"
correct ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="right"
right ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
functioning ^vbg+++xvbg+=functioning
as ^ql++++=as
tag ^nn++++=tag
questions ^nns+nom+++=questions
in ^in++++=in
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
prosecutor ^nn++++=prosecutor
s ^zz++++=s
formulations ^nns+nom+++=formulations.
. ^zz++++=EXTRAWORD
So ^ql++++=So-prefaced
- ^zz++++=EXTRAWORD
prefaced ^jj+atrb++xvbn+=EXTRAWORD
questions ^nns+nom+++=questions
were ^vbd+bed+vrb++=were
effective ^jj+pred+++=effective
in ^in++++=in
challenging ^xvbg+++xvbg+=challenging
and ^cc++++=and
reframing ^xvbg+++xvbg+=reframing
the ^ati++++=the
defendant ^nn+nom+++=defendant
s ^zz++++=s
account ^nn++++=account
by ^in++++=by
exerting ^xvbg+++xvbg+=exerting
pressure ^nn++++=pressure
on ^rp++++=on
her ^pp3o+pp3+++=her
to ^to++++=to
modify ^vbi++++=modify
her ^pp$+pp3+++=her
statements ^nns+nom+++=statements
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
more ^ql++++=more
favorable ^&fw++++=favorable
to ^in++++=to
the ^ati++++=the
prosecution ^nn+nom+++=prosecution.
. ^zz++++=EXTRAWORD
With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
discourse ^nn++++=discourse
markers ^nns+nom+++=markers
and ^cc++++=and
tag ^nn++++=tag
questions ^nns+nom+++=questions
mentioned ^vbd+vpub++xvbn+=mentioned
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
a ^at++++=a
degree ^nn++++=degree
of ^in++++=of
coerciveness ^nns+nom+++=coerciveness
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
cross ^jj++++=cross-examining
- ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=EXTRAWORD
lawyer ^nn++++=lawyer
s ^zz++++=s
questioning ^vwbg+++xvbg+=questioning.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
types ^nns++++=types
of ^in++++=of
questions ^nns+nom+++=questions
are ^vb+ber+vrb++=are
more ^rbr++++=more
coercive ^jj+pred+++=coercive
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
restrict ^vb++++=restrict
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
possible ^jj+atrb+++=possible
responses ^nns++++=responses
and ^cc++++=and,
, ^zz++++=EXTRAWORD
pragmatically ^rb+cnj+++=pragmatically,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
presuppose ^vb+vprv+++=presuppose
that ^tht+vcmp+++=that
the ^ati++++=the
respondent ^nn++++=respondent
recognizes ^vbz+vprv+++=recognizes
the ^ati++++=the
questioner ^nn+nom+++=questioner
s ^zz++++=s
position ^nn+nom+++=position
as ^ql++++=as
correct ^vb++++=correct.
. ^zz++++=EXTRAWORD
