Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
yellowish ^jj++++=yellowish-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
peridium ^nn+++??+=peridium
exhibiting ^vwbg+++xvbg+=exhibiting
some ^dti++++=some
reddish ^jj+atrb+++=reddish
dark ^jj+atrb+++=dark
brown ^jj+atrb+++=brown
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
basidiospores ^nns+++??+=basidiospores
measure ^nn++++=measure
( ^zz++++=(11
11 ^cd++++=EXTRAWORD
) ^zz++++=)
12 ^cd++++=12
14 ^cd++++=14
( ^zz++++=(
16 ^cd++++=16)
) ^zz++++=EXTRAWORD
m ^zz++++=m
in ^in++++=in
diameter ^nn+nom+++=diameter
and ^cc++++=and
possess ^nns+nom+++=possess
a ^at++++=a
well ^rb++++=well-developed
- ^zz++++=EXTRAWORD
developed ^vprf+++xvbn+=EXTRAWORD
crosshair ^nn++++=crosshair
structure ^nn++++=structure
( ^zz++++=(Nouhra
nouhra ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
