As ^in++++=As
the ^ati++++=the
scholar ^nn++++=scholar
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
questions ^nns+nom+++=questions
and ^cc++++=and
answers ^nns+nom+++=answers
provide ^vb+vsua+++=provide
a ^at++++=a
clear ^jj+atrb+++=clear
example ^nn++++=example
arguably ^rb++++=arguably
the ^ati++++=the
canonical ^jj+atrb+++=canonical
one ^pn++++=one
of ^in++++=of
what ^wdt+who+++=what
Harvey ^np++++=Harvey
Sacks ^nns++++=Sacks
termed ^vbd+++xvbn+=termed
a ^at++++=a
" ^zz++++="first
first ^rb++++=EXTRAWORD
pair ^nn++++=pair
part ^nn++++=part"
" ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
" ^zz++++="second
second ^od++++=EXTRAWORD
pair ^nn++++=pair
part ^nn++++=part,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
together ^nn+nom+++=together
constitute ^vb++++=constitute
a ^at++++=a
minimal ^jj+atrb+++=minimal
dialogic ^nn++++=dialogic
unit ^nn++++=unit.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
unit ^nn++++=unit
consists ^nns+nom+++=consists
of ^in++++=of
two ^cd++++=two
sequential ^jj+atrb+++=sequential
utterances ^nns+nom+++=utterances
of ^in++++=of
related ^xvbn+++xvbn+=related
types ^nns++++=types,
, ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=forming
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
an ^at++++=an
" ^zz++++="adjacency
adjacency ^nn+++??+=EXTRAWORD
pair ^nn++++=pair."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
pair ^nn++++=pair
part ^nn++++=part
establishes ^vbz+vprv+++=establishes
a ^at++++=a
" ^zz++++="conditional
conditional ^jj+atrb+++=EXTRAWORD
relevance ^nn+nom+++=relevance"
" ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
meaning ^vb+++xvbg+=meaning
that ^tht+vcmp+++=that
whatever ^nn+nom+++=whatever
is ^vbz+bez+aux++=is
produced ^vpsv++agls+xvbnx+=produced
in ^in++++=in
the ^ati++++=the
following ^jj+atrb++xvbg+=following
slot ^nn++++=slot
will ^md+prd+++=will
be ^vb+be+aux++=be
evaluated ^vpsv++agls+xvbnx+=evaluated
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
its ^pp$+it+++=its
appropriateness ^nns+nom+++=appropriateness
as ^in++++=as
a ^at++++=a
response ^nn++++=response.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
no ^at++++=no
response ^nn++++=response
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbnx+=provided,
, ^zz++++=EXTRAWORD
the ^ati++++=the
resulting ^nn++++=resulting
silence ^nn+nom+++=silence
is ^vbz+bez+aux++=is
itself ^ppl++++=itself
treated ^vbd+++xvbn+=treated
as ^ql++++=as
significant ^jj++++=significant
and ^cc++++=and
is ^vbz+bez+aux++=is
interpreted ^vpsv++agls+xvbnx+=interpreted
as ^ql++++=as
a ^at++++=a
meaningful ^jj+atrb+++=meaningful
rejoinder ^nn+nom+++=rejoinder
( ^zz++++=(Goffman,
goffman ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Wooffitt ^np+++??+=Wooffitt
 ^zz++++=(2005,
005 ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
P ^zz++++=p.
 ^zz++++=EXTRAWORD
2 ^cd++++=32)
	 ^zz++++=EXTRAWORD
Claims ^nns++++=claims
That ^tht+ncmp+obj++=that
