While ^cs+sub+++=While
researchers ^nns+nom+++=researchers
in ^in++++=in
various ^jj+atrb+++=various
fields ^nns++++=fields
of ^in++++=of
linguistics ^nn++++=linguistics
aim ^vb++++=aim
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
variation ^nn+nom+++=variation
and ^cc++++=and
contextual ^jj+atrb+++=contextual
differences ^nns+nom+++=differences,
, ^zz++++=EXTRAWORD
corpus ^nn++++=corpus
linguistics ^nn++++=linguistics
specifically ^rb++++=specifically
investigates ^nns+nom+++=investigates
language ^nn+nom+++=language
variation ^nn+nom+++=variation
and ^cc++++=and
usage ^nn++++=usage
by ^in++++=by
analyzing ^xvbg+++xvbg+=analyzing
large ^jj+atrb+++=large
collections ^nns+nom+++=collections
of ^in++++=of
texts ^nns++++=texts
produced ^vbd+++xvbn+=produced
under ^in++++=under
comparable ^jj+atrb+++=comparable
conditions ^nns+nom+++=conditions
( ^zz++++=(Crawford
crawford ^np++++=EXTRAWORD
& ^zz++++=&
csomay ^np++++=Csomay,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
5 ^zz++++=5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
