Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
properties ^nns++++=properties
described ^vwbn+++xvbn+=described
by ^in++++=by
the ^ati++++=the
aforementioned ^jj+atrb++xvbn+=aforementioned
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
Holt ^np++++=Holt
and ^cc++++=and
Johnson ^np++++=Johnson
( ^zz++++=(2010,
2010 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
28 ^cd++++=28)
) ^zz++++=EXTRAWORD
emphasize ^vb++++=emphasize
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
these ^dt+dem+++=these
characteristics ^nns++++=characteristics
in ^in++++=in
understanding ^xvbg+++xvbg+=understanding
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
mechanisms ^nns+nom+++=mechanisms
and ^cc++++=and
potential ^jj+atrb+++=potential
applications ^nns+nom+++=applications
within ^in++++=within
the ^ati++++=the
relevant ^jj+atrb+++=relevant
field ^nn++++=field.
. ^zz++++=EXTRAWORD
