Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
can ^md+pos+++=can
be ^vb+be+aux++=be
reliably ^rb++splt++=reliably
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
its ^pp$+it+++=its
notably ^rb++++=notably
large ^jj+atrb+++=large
basidiospores ^nns+++??+=basidiospores,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
measure ^nn++++=measure
20 ^cd++++=20
28 ^cd++++=28
30 ^cd++++=30
42 ^cd++++=42
m ^zz++++=m,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
pronounced ^jj+++xvbn+=pronounced
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
striations ^nns+nom+++=striations
on ^in++++=on
the ^ati++++=the
peridium ^nn++++=peridium
( ^zz++++=(Brodie
brodie ^nn++++=EXTRAWORD
and ^cc++++=and
dennis ^np++++=Dennis
1954 ^cd+date+++=1954).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
