In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
article ^nn++++=article
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
the ^ati++++=the
utility ^nn+nom+++=utility
of ^in++++=of
Bakhtinian ^np+++??+=Bakhtinian
dialogism ^nn+nom+++=dialogism
in ^in++++=in
discourse ^nn++++=discourse
analysis ^nn++++=analysis
by ^in++++=by
operationalizing ^xvbg+++xvbg+=operationalizing
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
centripetal ^jj++++=centripetal-centrifugal
- ^zz++++=EXTRAWORD
centrifugal ^jj+atrb+++=EXTRAWORD
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
illustrates ^nns+nom+++=illustrates
how ^wrb+who+++=how
dominant ^jj+atrb+++=dominant,
, ^zz++++=EXTRAWORD
centralized ^jj+atrb+++=centralized
discourses ^nns++++=discourses
are ^vb+ber+aux++=are
mobilized ^vpsv++agls+xvbnx+=mobilized
within ^in++++=within
political ^jj+atrb+++=political
speech ^nn++++=speech
to ^to++++=to
exclude ^vbi++++=exclude
marginalized ^jj+atrb++xvbn+=marginalized
perspectives ^nns++++=perspectives
and ^cc++++=and
to ^to++++=to
justify ^vbi++++=justify
significant ^jj++++=significant
shifts ^vbz++++=shifts
in ^in++++=in
foreign ^jj+atrb+++=foreign
policy ^nn++++=policy
and ^cc++++=and
military ^jj+atrb+++=military
expenditure ^nn++++=expenditure
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
previously ^rb+tm+splt++=previously
considered ^vpsv++agls+xvbnx+=considered
untenable ^jj++++=untenable.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
methodological ^jj+atrb+++=methodological
approach ^nn++++=approach
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
effective ^jj+pred+++=effective
for ^in++++=for
global ^jj+atrb+++=global
analyses ^nns++++=analyses
in ^in++++=in
contexts ^nns++++=contexts
where ^wrb+who+++=where
specific ^jj+atrb+++=specific
discourses ^nns++++=discourses
and ^cc++++=and
ideologies ^nns++++=ideologies,
, ^zz++++=EXTRAWORD
predominantly ^rb++++=predominantly
of ^in++++=of
Western ^jj+atrb+++=Western
Origin ^nn++++=origin,
 ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=are
Often ^rb++splt++=often
Assumed ^vbd+vprv++xvbn+=assumed
To ^to+vcmp+++=to
Be ^vbi++vrb++=be
Normative ^jj+pred+++=normative.
 ^zz++++=EXTRAWORD
