A ^at++++=A
total ^nn++++=total
of ^in++++=of
22 ^cd++++=22
articles ^nns++++=articles
and ^cc++++=and
books ^nns++++=books
published ^vbd+++xvbn+=published
between ^in++++=between
1964 ^cd+date+++=1964
and ^cc++++=and
2022 ^cd++++=2022
were ^vbd+bed+aux++=were
reviewed ^vpsv++agls+xvbnx+=reviewed
to ^to++++=to
obtain ^vbi++++=obtain
the ^ati++++=the
data ^nns++++=data.
. ^zz++++=EXTRAWORD
In ^in++++=In
total ^nn++++=total,
, ^zz++++=EXTRAWORD
1,096 ^cd++++=1,096
observations ^nns+nom+++=observations,
, ^zz++++=EXTRAWORD
including ^in++++=including
two ^cd++++=two
from ^in++++=from
preserved ^xvbn+++xvbn+=preserved
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Acre ^nn++++=Acre.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
records ^nns++++=records
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
eight ^cd++++=eight
municipalities ^nns+nom+++=municipalities:
: ^zz++++=EXTRAWORD
Acrel ^np+++??+=Acrel
ndia ^nn+++??+=ndia,
, ^zz++++=EXTRAWORD
Assis ^np+++??+=Assis
Brasil ^np+++??+=Brasil,
, ^zz++++=EXTRAWORD
Brasil ^np+++??+=Brasil
ia ^nn+++??+=ia,
, ^zz++++=EXTRAWORD
Bujari ^np+++??+=Bujari,
, ^zz++++=EXTRAWORD
Cruzeiro ^np+++??+=Cruzeiro
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
Feij ^np+++??+=Feij
, ^zz++++=,
Rio ^np+++??+=Rio
Branco ^np+++??+=Branco,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Xapuri ^np+++??+=Xapuri.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
these ^dt+dem+++=these
localities ^nns+nom+++=localities,
, ^zz++++=EXTRAWORD
116 ^cd++++=116
species ^nn++++=species
belonging ^vwbg+++xvbg+=belonging
to ^to++++=to
15 ^cd++++=15
genera ^nns++++=genera
of ^in++++=of
sand ^nn++++=sand
flies ^nns++++=flies
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
all ^abn++++=all
available ^jj+atrb+++=available
studies ^nns++++=studies
on ^in++++=on
phlebotomine ^nn+++??+=phlebotomine
fauna ^nn++++=fauna,
, ^zz++++=EXTRAWORD
116 ^cd++++=116
sand ^nn++++=sand
fly ^vb++++=fly
species ^nns++++=species
have ^vb+hv+aux++=have
been ^vbd+ben+aux++=been
reported ^vbn+vpub+++=reported
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
acre ^nn++++=Acre.
. ^zz++++=EXTRAWORD
