International ^jj+atrb+++=International
capital ^nn++++=capital
flows ^nns++++=flows
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
pro ^nn++++=pro-cyclical
- ^zz++++=EXTRAWORD
cyclical ^jj++++=EXTRAWORD
and ^cc++++=and
are ^vb+ber+aux++=are
directly ^rb++splt++=directly
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
the ^ati++++=the
monetary ^jj+atrb+++=monetary
policies ^nns++++=policies
and ^cc++++=and
financial ^jj+atrb+++=financial
conditions ^nns+nom+++=conditions
of ^in++++=of
advanced ^jj+atrb++xvbn+=advanced
economies ^nns++++=economies,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
Arora ^np+++??+=Arora
and ^cc++++=and
Cerisola ^np+++??+=Cerisola
( ^zz++++=(2000),
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Calvo ^np+++??+=Calvo
and ^cc++++=and
Reinhart ^np+++??+=Reinhart
( ^zz++++=(2002),
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kaminsky ^np++++=Kaminsky
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2004).
2004 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
