Several ^ap++++=Several
variables ^nns++++=variables
continued ^vbd+++xvbn+=continued
to ^to++++=to
exhibit ^vbi++++=exhibit
significant ^jj+atrb+++=significant
independent ^jj+atrb+++=independent
effects ^nns++++=effects
after ^cs+sub+++=after
controlling ^nn++++=controlling
for ^in++++=for
fixed ^xvbn+++xvbn+=fixed
effects ^nns++++=effects
related ^vbd+++xvbn+=related
to ^in++++=to
types ^nns++++=types
of ^in++++=of
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
educational ^jj+atrb+++=educational
attainment ^nn+nom+++=attainment
( ^zz++++=(specifically,
specifically ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
a ^at++++=a
college ^nn++++=college
degree ^nn++++=degree),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
salaried ^jj+atrb+++=salaried
employee ^nn+nom+++=employee
( ^zz++++=(as
as ^in++++=EXTRAWORD
opposed ^in"++++=opposed
to ^in"++++=to
being ^vbg+beg++xvbg+=being
self ^nn++++=self-employed
- ^zz++++=EXTRAWORD
employed ^vpsv++agls+xvbn+=EXTRAWORD
or ^cc++++=or
an ^at++++=an
employer ^nn+nom+++=employer),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
higher ^jjr+atrb+++=higher
labor ^nn++++=labor
income ^nn++++=income
were ^vbd+bed+aux++=were
all ^abn++++=all
positively ^rb++++=positively
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
probability ^nn+nom+++=probability
of ^in++++=of
engaging ^nn++++=engaging
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work
varies ^vbz++++=varies
not ^xnot++not++=not
only ^rb+down+++=only
across ^in+pl+++=across
different ^jj+atrb+++=different
occupations ^nns+nom+++=occupations
but ^cc++++=but
also ^rb++++=also
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
occupational ^jj+atrb+++=occupational
categories ^nns++++=categories.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
other ^ap++++=other
factors ^nns++++=factors
constant ^nn+nom+++=constant,
, ^zz++++=EXTRAWORD
younger ^jjr+atrb+++=younger
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
white ^jj+atrb+++=white
workers ^nns+nom+++=workers
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
somewhat ^rb+down+++=somewhat
higher ^jjr+atrb+++=higher
probability ^nn+nom+++=probability
of ^in++++=of
working ^nn++++=working
remotely ^rb++++=remotely.
. ^zz++++=EXTRAWORD
