Any ^dti++++=Any
selection ^nn+nom+++=selection
of ^in++++=of
texts ^nns++++=texts
constitutes ^vbz++++=constitutes
a ^at++++=a
sample ^nn++++=sample;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
representativeness ^nns+nom+++=representativeness
of ^in++++=of
a ^at++++=a
sample ^nn++++=sample
primarily ^rb+down+++=primarily
depends ^vbz++++=depends
on ^in++++=on
the ^ati++++=the
degree ^nn++++=degree
to ^to++++=to
which ^whp+who+++=which
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
drawn ^vpsv++agls+xvbnx+=drawn
from ^in++++=from
the ^ati++++=the
full ^jj+atrb+++=full
range ^nn++++=range
of ^in++++=of
text ^nn++++=text
types ^nns++++=types
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
target ^nn++++=target
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
Assessing ^vbg+++xvbg+=Assessing
this ^dt+dem+++=this
representativeness ^nns+nom+++=representativeness
requires ^vbz++++=requires
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
and ^cc+phrs+++=and
explicit ^jj+atrb+++=explicit
definition ^nn+nom+++=definition
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
that ^tht+rel+obj++=that
the ^ati++++=the
sample ^nn++++=sample
is ^vbz+bez+aux++=is
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
represent ^vbi++++=represent,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
a ^at++++=a
clear ^jj+atrb+++=clear
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
sampling ^nn+nom+++=sampling
techniques ^nns++++=techniques
employed ^vbd+++xvbn+=employed
to ^to++++=to
select ^vbi++++=select
texts ^nns++++=texts
from ^in++++=from
that ^dt+dem+++=that
population ^nn+nom+++=population
( ^zz++++=(Biber,
biber ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
243 ^cd++++=243).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
