A ^at++++=A
latent ^jj+atrb+++=latent
discourse ^nn++++=discourse
of ^in++++=of
free ^jj+atrb+++=free
democracy ^nn+nom+++=democracy
is ^vbz+bez+aux++=is
present ^vb++++=present,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
the ^ati++++=the
statement ^nn+nom+++=statement
wir ^jj+atrb++??+=wir
wissen ^jj+atrb++xvbn+=wissen
um ^uh++++=um
die ^vb++++=die
St ^npt++++=St
rke ^nn+++??+=rke
freier ^jjr++++=freier
Demokratien ^np+++??+=Demokratien,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serves ^vbz++++=serves
to ^to++++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
unity ^nn++++=unity
among ^in++++=among
the ^ati++++=the
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
discourse ^nn++++=discourse
is ^vbz+bez+aux++=is
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
the ^ati++++=the
characterization ^nn+nom+++=characterization
of ^in++++=of
the ^ati++++=the
conflict ^nn++++=conflict
in ^in++++=in
Ukraine ^np++++=Ukraine
by ^in++++=by
framing ^xvbg+++xvbg+=framing
the ^ati++++=the
attack ^nn++++=attack
as ^ql++++=as
not ^xnot++not++=not
only ^rb+down+++=only
targeting ^jj+++xvbg+=targeting
Ukraine ^np++++=Ukraine
but ^cc++++=but
also ^rb++++=also
as ^in++++=as
an ^at++++=an
assault ^nn++++=assault
on ^in++++=on
the ^ati++++=the
peaceful ^jj+atrb+++=peaceful
order ^nn++++=order
in ^in++++=in
Europe ^np++++=Europe
and ^cc++++=and
globally ^rb+cnj+++=globally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
explicitly ^rb++++=explicitly
referring ^vbg+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
conflict ^nn++++=conflict
as ^ql++++=as
Putin ^np+++??+=Putin
s ^zz++++=s
war ^nn++++=war.
. ^zz++++=EXTRAWORD
The ^ati++++=The
concluding ^jj+atrb++xvbg+=concluding
sentence ^nn+nom+++=sentence,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
asserts ^vbz+vpub+++=asserts
wir ^jj+++??+=wir
werden ^jj+++xvbn+=werden
es ^&fw++++=es
verteidigen ^vb+++xvbn+=verteidigen
( ^zz++++=(
we ^pp1a+pp1+++=we
will ^md+prd+++=will
defend ^vb++++=defend
it ^pp3+it+++=it
) ^zz++++=),
, ^zz++++=EXTRAWORD
further ^jjb++++=further
reinforces ^vbz++++=reinforces
the ^ati++++=the
discourse ^nn++++=discourse
positioning ^nn++++=positioning
germany ^np++++=Germany
as ^in++++=as
a ^at++++=a
military ^jj+atrb+++=military
power ^nn++++=power.
. ^zz++++=EXTRAWORD
