Given ^vbd+++xvbn+=Given
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
Undergraduate ^nn+nom+++=Undergraduate
Scientific ^jj+atrb+++=Scientific
Research ^nn++++=Research
( ^zz++++=(USR),
usr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
characterized ^vpsv++agls+xvbnx+=characterized
as ^ql++++=as
an ^at++++=an
entry ^nn++++=entry
process ^nns+nom+++=process
into ^in++++=into
the ^ati++++=the
academic ^jj+atrb+++=academic
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
" ^zz++++="initiation"
initiation ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context
refers ^vbz++++=refers
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
the ^ati++++=the
commencement ^nn+nom+++=commencement
of ^in++++=of
an ^at++++=an
activity ^nn+nom+++=activity
but ^cc++++=but
also ^rb++++=also
encompasses ^vbz++++=encompasses
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
a ^at++++=a
structured ^jj+atrb++xvbn+=structured
process ^nns+nom+++=process
involving ^vwbg+++xvbg+=involving
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
foundational ^jj+atrb+++=foundational
knowledge ^nn++++=knowledge
and ^cc++++=and
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Houaiss ^np+++??+=Houaiss
dictionary ^nn+nom+++=dictionary
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
initiation ^nn+nom+++=initiation
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^in++++=as
" ^zz++++="the
the ^ati++++=EXTRAWORD
act ^nn++++=act
of ^in++++=of
giving ^xvbg+++xvbg+=giving
or ^cc++++=or
receiving ^xvbg+++xvbg+=receiving
the ^ati++++=the
first ^od++++=first
elements ^nns+nom+++=elements
of ^in++++=of
a ^at++++=a
practice ^nn++++=practice
or ^cc++++=or
the ^ati++++=the
rudiments ^nns+nom+++=rudiments
relating ^vwbg+++xvbg+=relating
to ^in++++=to
an ^at++++=an
area ^nn++++=area
of ^in++++=of
knowledge ^nn++++=knowledge,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
such ^abl++++=such
as ^in++++=as
" ^zz++++="scientific
scientific ^jj+atrb+++=EXTRAWORD
initiation ^nn+nom+++=initiation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
Usr ^np+++??+=USR,
, ^zz++++=EXTRAWORD
students ^nns++++=students
are ^vb+ber+aux++=are
introduced ^vpsv++agls+xvbnx+=introduced
to ^in++++=to
scientific ^jj+atrb+++=scientific
research ^nn++++=research
practices ^nns++++=practices
and ^cc++++=and
engage ^vb++++=engage
in ^in++++=in
activities ^nns+nom+++=activities
related ^vbd+++xvbn+=related
to ^in++++=to
a ^at++++=a
research ^nn++++=research
project ^nn++++=project,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
designed ^vpsv++agls+xvbnx+=designed
and ^cc+phrs+++=and
supervised ^vpsv++by+xvbn+=supervised
by ^in++++=by
a ^at++++=a
faculty ^nn++++=faculty
member ^nn++++=member
( ^zz++++=(Massi
massi ^nn++++=EXTRAWORD
and ^cc++++=and
queiroz ^np++++=Queiroz,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010:
: ^zz++++=EXTRAWORD
175 ^cd++++=175).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
