Selection ^nn+nom+++=Selection
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
ecological ^jj+atrb+++=ecological
interactions ^nns+nom+++=interactions
is ^vbz+bez+vrb++=is
a ^at++++=a
major ^jj+atrb+++=major
factor ^nn++++=factor
influencing ^vwbg+++xvbg+=influencing
phenotypic ^jj+atrb+++=phenotypic
patterns ^nns++++=patterns
across ^in+pl+++=across
various ^jj+atrb+++=various
levels ^nns++++=levels
of ^in++++=of
biological ^jj+atrb+++=biological
organization ^nn+nom+++=organization
( ^zz++++=(Thompson
thompson ^np++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
selection ^nn+nom+++=selection
contributes ^vbz++++=contributes
to ^in++++=to
trait ^nn++++=trait
matching ^vwbg+++xvbg+=matching
between ^in++++=between
interacting ^jj+atrb+++=interacting
individuals ^nns+nom+++=individuals
( ^zz++++=(Zhang
zhang ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
affects ^vbz++++=affects
trait ^nn++++=trait
distributions ^nns+nom+++=distributions
within ^in++++=within
interacting ^jj+atrb+++=interacting
populations ^nns+nom+++=populations
( ^zz++++=(Bronstein
bronstein ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
influences ^nns+nom+++=influences
trait ^nn++++=trait
variation ^nn+nom+++=variation
among ^in++++=among
populations ^nns+nom+++=populations
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
species ^nn++++=species
( ^zz++++=(Thompson
thompson ^np++++=EXTRAWORD
2005 ^cd++++=2005),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shapes ^nns++++=shapes
trait ^nn++++=trait
patterns ^nns++++=patterns
at ^in++++=at
the ^ati++++=the
community ^nn+nom+++=community
level ^nn++++=level
( ^zz++++=(Strauss
strauss ^np++++=EXTRAWORD
& ^zz++++=&
Irwin ^np++++=Irwin
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
community ^nn+nom+++=community
level ^nn++++=level,
, ^zz++++=EXTRAWORD
ecological ^jj+atrb+++=ecological
interactions ^nns+nom+++=interactions
can ^md+pos+++=can
promote ^vb++++=promote
both ^abx++++=both
trait ^nn++++=trait
convergence ^nn+nom+++=convergence
( ^zz++++=(Wilson
wilson ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012)
) ^zz++++=EXTRAWORD
and ^cc++++=and
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
( ^zz++++=(Siepielski
siepielski ^nn+++??+=EXTRAWORD
& ^zz++++=&
Benkman ^np+++??+=Benkman
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
theoretical ^jj+atrb+++=theoretical
and ^cc+phrs+++=and
empirical ^jj+atrb+++=empirical
studies ^nns++++=studies
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
ecological ^jj+atrb+++=ecological
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
mutualistic ^jj+atrb+++=mutualistic
and ^cc+phrs+++=and
antagonistic ^jj+atrb+++=antagonistic
relationships ^nns+nom+++=relationships,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
lead ^vb++++=lead
to ^in++++=to
distinct ^jj+atrb+++=distinct
trait ^nn++++=trait
patterns ^nns++++=patterns
within ^in++++=within
communities ^nns+nom+++=communities
( ^zz++++=(Thompson
thompson ^np++++=EXTRAWORD
1994 ^cd+date+++=1994).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
