These ^dt+dem+++=These
two ^cd++++=two
examples ^nns++++=examples
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
region ^nn++++=region
has ^vbz+hvz+aux++=has
only ^ap+down+++=only
begun ^vprf+++xvbn+=begun
to ^to++++=to
adopt ^vbi++++=adopt
an ^at++++=an
economic ^jj+atrb+++=economic
model ^nn++++=model
that ^tht+rel+++=that
leverages ^nns+nom+++=leverages
its ^pp$+it+++=its
biodiversity ^nn+nom+++=biodiversity
for ^in++++=for
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
innovative ^jj+atrb+++=innovative
products ^nns++++=products
within ^in++++=within
the ^ati++++=the
framework ^nn++++=framework
of ^in++++=of
the ^ati++++=the
bioeconomy ^nn+++??+=bioeconomy.
. ^zz++++=EXTRAWORD
To ^in++++=To
advance ^nn+nom+++=advance
in ^in++++=in
this ^dt+dem+++=this
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
coordinated ^jj+atrb+++=coordinated
efforts ^nns++++=efforts
among ^in++++=among
educational ^jj++++=educational,
, ^zz++++=EXTRAWORD
research ^nn++++=research,
, ^zz++++=EXTRAWORD
production ^nn+nom+++=production,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
policy ^nn++++=policy
sectors ^nns++++=sectors
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
an ^at++++=an
integrated ^jj+atrb++xvbn+=integrated
chain ^nn++++=chain
that ^tht+rel+++=that
facilitates ^nns+nom+++=facilitates
progress ^nns+nom+++=progress
for ^in++++=for
latin ^jj+atrb+++=Latin
american ^jj+atrb+++=American
countries ^nns++++=countries
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
