The ^ati++++=The
term ^nn++++=term
Capital ^nn++++=Capital
Flow ^nn++++=Flow
Management ^nn+nom+++=Management
Measures ^nns++++=Measures
( ^zz++++=(CFMs)
cfms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
includes ^vb++++=includes
both ^abx++++=both
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
distinction ^nn+nom+++=distinction
underlies ^nns+++??+=underlies
why ^wrb+who+++=why
some ^dti++++=some
studies ^nns++++=studies
compare ^vb++++=compare
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
Cfms ^np+++??+=CFMs
implemented ^vwbn+++xvbn+=implemented
by ^in++++=by
developed ^xvbn+++xvbn+=developed
countries ^nns++++=countries
with ^in++++=with
those ^dt+dem+++=those
used ^vpsv++by+xvbn+=used
by ^in++++=by
emerging ^xvbg+++xvbg+=emerging
economies ^nns++++=economies,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^nn++++=discussed
in ^in++++=in
Subsection ^nn+nom+++=Subsection
4.3 ^cd++++=4.3.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
Cfms ^np+++??+=CFMs
in ^in++++=in
developed ^xvbn+++xvbn+=developed
countries ^nns++++=countries
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
countries ^nns++++=countries
have ^vb+hv+vrb++=have
not ^xnot++not++=not
imposed ^jj+atrb++xvbn+=imposed
capital ^nn++++=capital
controls ^vbz++++=controls
that ^dt+dem+++=that
discriminate ^nn+nom+++=discriminate
based ^xvbn+++xvbn+=based
on ^in++++=on
investors ^nns++++=investors
residency ^nn+++??+=residency
since ^rb++++=since
the ^ati++++=the
liberalization ^nn+nom+++=liberalization
reforms ^nns++++=reforms
of ^in++++=of
the ^ati++++=the
1970s ^cd+date+++=1970s
and ^cc++++=and
1980s ^cd+date+++=1980s.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Cfms ^np+++??+=CFMs
in ^in++++=in
emerging ^xvbg+++xvbg+=emerging
economies ^nns++++=economies
encompass ^nns+++??+=encompass
both ^abx++++=both
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
With ^in++++=With
these ^dt+dem+++=these
distinctions ^nns+nom+++=distinctions
clarified ^vwbn+++xvbn+=clarified,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
section ^nn+nom+++=section
presents ^vbz++++=presents
the ^ati++++=the
main ^jjb+atrb+++=main
studies ^nns++++=studies
that ^tht+rel+subj++=that
provide ^vb+vsua+++=provide
new ^jj+atrb+++=new
recommendations ^nns+nom+++=recommendations
on ^in++++=on
this ^dt+dem+++=this
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
