Politeness ^nns+nom+++=Politeness
strategies ^nns+++??+=strategies
serve ^vb++++=serve
as ^in++++=as
important ^jj+atrb+++=important
mechanisms ^nns+nom+++=mechanisms
that ^tht+rel+obj++=that
speakers ^nns+nom+++=speakers
employ ^vb++++=employ
to ^to++++=to
mitigate ^nn+nom+++=mitigate
the ^ati++++=the
illocutionary ^nn+nom+++=illocutionary
force ^nn++++=force
of ^in++++=of
their ^pp$+pp3+++=their
utterances ^nns+nom+++=utterances.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
sociointeractional ^jj+atrb+++=sociointeractional
strategies ^nns+++??+=strategies
are ^vb+ber+aux++=are
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
individuals ^nns+nom+++=individuals
needs ^vb++++=needs
to ^to+vcmp+++=to
obtain ^vbi++++=obtain
social ^jj+atrb+++=social
approval ^nn+nom+++=approval
and ^cc++++=and
to ^to++++=to
maintain ^vbi+vpub+++=maintain
their ^pp$+pp3+++=their
own ^ap++++=own
autonomy ^nn++++=autonomy.
. ^zz++++=EXTRAWORD
Notable ^jj+atrb+++=Notable
examples ^nns++++=examples
of ^in++++=of
such ^abl++++=such
strategies ^nns+++??+=strategies
include ^vb++++=include
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
metadiscursive ^jj+atrb+++=metadiscursive
expressions ^nns++++=expressions,
, ^zz++++=EXTRAWORD
evasive ^jj+atrb+++=evasive
forms ^nns++++=forms,
, ^zz++++=EXTRAWORD
paraphrases ^nns+++??+=paraphrases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
markers ^nns+nom+++=markers
that ^tht+rel+obj++=that
signal ^nn++++=signal
varying ^vwbg+++xvbg+=varying
degrees ^nns+nom+++=degrees
of ^in++++=of
speaker ^nn++++=speaker
involvement ^nn+nom+++=involvement,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
relevant ^jj+atrb+++=relevant
linguistic ^jj+atrb+++=linguistic
features ^nns++++=features.
. ^zz++++=EXTRAWORD
