Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
pinkish ^jj+atrb+++=pinkish
pseudostipe ^nn+++??+=pseudostipe
that ^tht+rel+obj++=that
narrows ^nps++++=narrows
toward ^in++++=toward
the ^ati++++=the
apex ^nn++++=apex
and ^cc++++=and
a ^at++++=a
granulose ^nn+++??+=granulose,
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright
red ^jj+atrb+++=red
fertile ^jj+atrb+++=fertile
region ^nn++++=region
that ^tht+rel+subj++=that
develops ^vbz++++=develops
a ^at++++=a
small ^jj++++=small
apical ^jj++++=apical
pore ^jj++++=pore
at ^in++++=at
maturity ^nn+nom+++=maturity
( ^zz++++=(Trierveiler-Pereira
trierveiler ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pereira ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
