Regarding ^in++++=Regarding
domestic ^jj+atrb+++=domestic
impacts ^nns+++??+=impacts,
, ^zz++++=EXTRAWORD
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
2008 ^cd++++=2008
crisis ^nn++++=crisis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
impulse ^nn++++=impulse-response
- ^zz++++=EXTRAWORD
response ^nn++++=EXTRAWORD
functions ^nns+nom+++=functions
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
net ^jjb+atrb+++=net
restrictions ^nns+nom+++=restrictions
on ^in++++=on
capital ^nn++++=capital
inflows ^nns++++=inflows
increased ^vbd+++xvbn+=increased
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy
and ^cc++++=and
reduced ^vbd+++xvbn+=reduced
upward ^jjb+atrb+++=upward
pressure ^nn++++=pressure
on ^in++++=on
exchange ^nn++++=exchange
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
these ^dt+dem+++=these
effects ^nns++++=effects
were ^vbd+bed+aux++=were
mixed ^vpsv++agls+xvbnx+=mixed
and ^cc++++=and
often ^rb++++=often
not ^xnot++not++=not
statistically ^rb++++=statistically
significant ^jj++++=significant.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
net ^jjb++++=net
loosening ^jj+++xvbg+=loosening
of ^in++++=of
outflow ^nn+++??+=outflow
controls ^vbz++++=controls
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
reduced ^jj+atrb++xvbn+=reduced
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy
in ^in++++=in
emerging ^xvbg+++xvbg+=emerging
economies ^nns++++=economies.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
post ^nn++++=post-crisis
- ^zz++++=EXTRAWORD
crisis ^nn++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(2008
2008 ^cd++++=EXTRAWORD
2011 ^cd++++=2011),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
regression ^nn++++=regression
results ^nns++++=results
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
net ^jjb+atrb+++=net
restrictions ^nns+nom+++=restrictions
on ^in++++=on
inflows ^nns++++=inflows
continued ^vbd+++xvbn+=continued
to ^to++++=to
enhance ^nn+nom+++=enhance
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
a ^at++++=a
lesser ^jjr+atrb+++=lesser
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
net ^jjb++++=net
loosening ^jj+++xvbg+=loosening
of ^in++++=of
outflow ^nn+++??+=outflow
controls ^vbz++++=controls
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
significant ^jj+atrb+++=significant
impact ^nn++++=impact
on ^in++++=on
the ^ati++++=the
trilemma ^nn+++??+=trilemma
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
diminished ^jj+atrb++xvbn+=diminished
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
global ^jj+atrb+++=global
environment ^nn+nom+++=environment
of ^in++++=of
high ^jj+atrb+++=high
liquidity ^nn+nom+++=liquidity
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period
( ^zz++++=(Pasricha
pasricha ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
