With ^in++++=With
regard ^nn++++=regard
to ^in++++=to
formulations ^nns+nom+++=formulations,
, ^zz++++=EXTRAWORD
three ^cd++++=three
properties ^nns++++=properties
are ^vb+ber+aux++=are
identified ^vpsv++agls+xvbnx+=identified:
: ^zz++++=EXTRAWORD
preservation ^nn+nom+++=preservation,
, ^zz++++=EXTRAWORD
transformation ^nn+nom+++=transformation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deletion ^nn+nom+++=deletion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
original ^jj+atrb+++=original
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
After ^in++++=After
leaving ^xvbg+++xvbg+=leaving
that ^dt+dem+++=that
convention ^nn+nom+++=convention,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
any ^dti++++=any
type ^nn++++=type
of ^in++++=of
impressions ^nns++++=impressions
about ^in++++=about
- ^zz++++=-that
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
learned ^vbd+vprv++xvbn+=learned
from ^in++++=from
convention ^nn+nom+++=convention?
? ^zz++++=EXTRAWORD
, ^zz++++=,
is ^vbz+bez+aux++=is
later ^rbr+tm+splt++=later
reformulated ^vpsv++agls+xvbnx+=reformulated
as ^ql++++=as
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
other ^ap++++=other
impressions ^nns++++=impressions
having ^vwbg+hvg++xvbg+=having
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
your ^pp$+pp2+++=your
life ^nn++++=life
and ^cc+cls+++=and
where ^wrb+who+++=where
your ^pp$+pp2+++=your
life ^nn++++=life
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going?
? ^zz++++=EXTRAWORD
. ^zz++++=.
While ^cs+sub+++=While
the ^ati++++=the
aspect ^nn++++=aspect
concerning ^in++++=concerning
the ^ati++++=the
interviewee ^nn+nom+++=interviewee
s ^zz++++=s
impressions ^nns++++=impressions
is ^vbz+bez+aux++=is
preserved ^vpsv++agls+xvbnx+=preserved,
, ^zz++++=EXTRAWORD
the ^ati++++=the
focus ^nn++++=focus
shifts ^vbz++++=shifts
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
deletion ^nn+nom+++=deletion
of ^in++++=of
references ^nns+nom+++=references
to ^in++++=to
impressions ^nns++++=impressions
specifically ^rb++++=specifically
related ^vbd+++xvbn+=related
to ^to++++=to
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
learned ^vpsv++agls+xvbnx+=learned
from ^in++++=from
the ^ati++++=the
convention ^nn+nom+++=convention,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
transformation ^nn+nom+++=transformation
of ^in++++=of
the ^ati++++=the
question ^nn+nom+++=question
to ^in++++=to
address ^nns+nom+++=address
other ^ap++++=other
impressions ^nns++++=impressions
pertaining ^vwbg+++xvbg+=pertaining
to ^in++++=to
her ^pp$+pp3+++=her
life ^nn++++=life
and ^cc++++=and
its ^pp$+it+++=its
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
reformulation ^nn+nom+++=reformulation
semantically ^rb++++=semantically
narrows ^nps++++=narrows
the ^ati++++=the
scope ^nn++++=scope,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
defendant ^nn+nom+++=defendant
is ^vbz+bez+aux++=is
no ^at++++=no
longer ^rbr++++=longer
asked ^vbd+vsua++xvbn+=asked
about ^in++++=about
any ^dti++++=any
type ^nn++++=type
of ^in++++=of
impressions ^nns++++=impressions,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
about ^in++++=about
other ^ap++++=other
impressions ^nns++++=impressions
specifically ^rb++++=specifically
related ^vbd+++xvbn+=related
to ^in++++=to
her ^pp$+pp3+++=her
life ^nn++++=life
and ^cc++++=and
its ^pp$+it+++=its
trajectory ^nn++++=trajectory.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
discourse ^nn++++=discourse
markers ^nns+nom+++=markers
well ^rb++++=well
and ^cc++++=and
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
reappear ^nn+++??+=reappear
in ^in++++=in
Excerpt ^np+++??+=Excerpt
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
functioning ^vbg+++xvbg+=functioning
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
pragmatic ^jj+atrb+++=pragmatic
effects ^nns++++=effects
as ^in++++=as
previously ^rb+tm+++=previously
observed ^vpsv++agls+xvbn+=observed
in ^in++++=in
excerpts ^np++++=Excerpts
4 ^zz++++=4
and ^cc++++=and
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
