In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
responses ^nns++++=responses
of ^in++++=of
wild ^jj++++=wild
and ^cc++++=and
in ^in++++=in
vitro ^nn+++??+=vitro
plants ^nns++++=plants
is ^vbz+bez+vrb++=is
valuable ^jj+pred+++=valuable
for ^in++++=for
refining ^xvbg+++xvbg+=refining
propagation ^nn+nom+++=propagation
protocols ^nns++++=protocols.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
may ^md+pos+++=may
inform ^vb++++=inform
adjustments ^nns+nom+++=adjustments
to ^in++++=to
photosynthetically ^rb++++=photosynthetically
active ^jj+atrb+++=active
radiation ^nn+nom+++=radiation
( ^zz++++=(PAR)
par ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
intensity ^nn+nom+++=intensity
to ^to++++=to
promote ^vbi++++=promote
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
more ^rbr++++=more
mature ^jj+atrb+++=mature
seedlings ^nns+nom+++=seedlings,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
increasing ^jj+atrb++xvbg+=increasing
survival ^nn+nom+++=survival
rates ^nns++++=rates
during ^in++++=during
the ^ati++++=the
transition ^nn+nom+++=transition
from ^in++++=from
in ^in++++=in
vitro ^nn+++??+=vitro
to ^in++++=to
greenhouse ^nn++++=greenhouse
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
development ^nn+nom+++=development
of ^in++++=of
effective ^jj+atrb+++=effective
technologies ^nns+++??+=technologies
for ^in++++=for
producing ^xvbg+++xvbg+=producing
seedlings ^nns+nom+++=seedlings
of ^in++++=of
Cerrado ^np+++??+=Cerrado
species ^nns++++=species
remains ^nns++++=remains
a ^at++++=a
complex ^jj+atrb+++=complex
but ^cc+phrs+++=but
essential ^jj+atrb+++=essential
process ^nns+nom+++=process
for ^in++++=for
their ^pp$+pp3+++=their
conservation ^nn+nom+++=conservation
and ^cc++++=and
domestication ^nn+nom+++=domestication.
. ^zz++++=EXTRAWORD
