Regarding ^in++++=Regarding
gender ^nn++++=gender,
, ^zz++++=EXTRAWORD
controlling ^jj+++xvbg+=controlling
for ^in++++=for
labor ^nn++++=labor
activities ^nns+nom+++=activities
also ^rb++++=also
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
the ^ati++++=the
coefficient ^nn++++=coefficient;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
an ^at++++=an
independent ^jj+atrb+++=independent
effect ^nn++++=effect
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
with ^in++++=with
men ^nns++++=men
being ^vwbg+beg++xvbg+=being
2.19 ^cd++++=2.19
percentage ^nn+nom+++=percentage
points ^nns++++=points
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
engage ^vbi++++=engage
in ^in++++=in
remote ^nn++++=remote
work ^vb++++=work
compared ^vbd+++xvbn+=compared
to ^in++++=to
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Brussevich ^np+++??+=Brussevich
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
similarly ^rb+cnj+++=similarly
report ^vb++++=report
that ^tht+vcmp+++=that
men ^nns++++=men,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
less ^rbr++++=less
likely ^jj+pred+++=likely
than ^in++++=than
women ^nns++++=women
to ^to++++=to
participate ^nn+nom+++=participate
in ^in++++=in
occupations ^nns+nom+++=occupations
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
performed ^vpsv++agls+xvbnx+=performed
remotely ^rb+cnj+++=remotely,
, ^zz++++=EXTRAWORD
a ^at++++=a
finding ^jj+++xvbg+=finding
primarily ^rb+down+++=primarily
attributed ^vbd+++xvbn+=attributed
to ^in++++=to
differences ^nns+nom+++=differences
in ^in++++=in
occupational ^jj+atrb+++=occupational
and ^cc+phrs+++=and
sectoral ^jj+atrb+++=sectoral
selection ^nn+nom+++=selection
between ^in++++=between
male ^jj+atrb+++=male
and ^cc+phrs+++=and
female ^jj+atrb+++=female
workers ^nns+nom+++=workers.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
negative ^jj+atrb+++=negative
independent ^jj+atrb+++=independent
effect ^nn++++=effect
for ^in++++=for
men ^nns++++=men
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
persistent ^jj+atrb+++=persistent
gender ^nn++++=gender
division ^nn++++=division
of ^in++++=of
domestic ^jj+atrb+++=domestic
labor ^nn++++=labor
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
responsibilities ^nns+nom+++=responsibilities
related ^vbd+++xvbn+=related
to ^in++++=to
family ^nn++++=family
assistance ^nn+nom+++=assistance
and ^cc++++=and
child ^nn++++=child
rearing ^nn++++=rearing
predominantly ^rb++++=predominantly
fall ^nn++++=fall
on ^in++++=on
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Duarte ^np+++??+=Duarte
and ^cc++++=and
Spinelli ^np+++??+=Spinelli
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
women ^nns++++=women
spent ^vbd+++xvbn+=spent
approximately ^rb+down+++=approximately
20.9 ^cd++++=20.9
hours ^nns++++=hours
per ^in++++=per
week ^nn++++=week
on ^in++++=on
domestic ^jj+atrb+++=domestic
and ^cc+phrs+++=and
caregiving ^jj+atrb++xvbg+=caregiving
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^to++++=to
10.8 ^cd++++=10.8
hours ^nns++++=hours
for ^in++++=for
men ^nns++++=men,
, ^zz++++=EXTRAWORD
with ^in++++=with
this ^dt+dem+++=this
disparity ^nn+nom+++=disparity
persisting ^vbg+++xvbg+=persisting
across ^in+pl+++=across
all ^abn++++=all
educational ^jj+atrb+++=educational
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
