Among ^in++++=Among
participants ^nns+nom+++=participants
with ^in++++=with
a ^at++++=a
negative ^jj+atrb+++=negative
perception ^nn+nom+++=perception
of ^in++++=of
science ^nn+nom+++=science
( ^zz++++=(8.6%),
8.6% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="pollution"
pollution ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
selected ^jj+atrb++xvbn+=selected
word ^nn++++=word
( ^zz++++=(3.8%).
3.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
negative ^jj+atrb+++=negative
perception ^nn+nom+++=perception
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
prevalent ^jj+pred+++=prevalent
among ^in++++=among
individuals ^nns+nom+++=individuals
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
not ^xnot++not++=not
currently ^rb++++=currently
studying ^vbg+++xvbg+=studying
( ^zz++++=(25.0%),
25.0% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
attending ^jj+atrb++xvbg+=attending
public ^jj+atrb+++=public
schools ^nns++++=schools
( ^zz++++=(9.7%),
9.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
women ^nns++++=women
( ^zz++++=(10.3%),
10.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
participants ^nns+nom+++=participants
without ^in++++=without
a ^at++++=a
university ^npl+nom+++=university-educated
- ^zz++++=EXTRAWORD
educated ^vbd+++xvbn+=EXTRAWORD
parent ^nn++++=parent
( ^zz++++=(10.2%).
10.2% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
