Compiling ^np+nom++??+=Compiling
a ^at++++=a
learner ^nn++++=learner
corpus ^nn++++=corpus
in ^in++++=in
a ^at++++=a
pedagogical ^jj+atrb+++=pedagogical
context ^nn++++=context
has ^vbz+hvz+aux++=has
presented ^vprf+++xvbnx+=presented
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
changes ^vb++++=changes
in ^in++++=in
data ^nns++++=data
collection ^nn+nom+++=collection
procedures ^nns++++=procedures
over ^in++++=over
several ^ap++++=several
years ^nns++++=years,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
establishment ^nn+nom+++=establishment
of ^in++++=of
consistent ^jj+atrb+++=consistent
compilation ^nn+nom+++=compilation
parameters ^nns+nom+++=parameters,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corpus ^nn++++=corpus
has ^vbz+hvz+aux++=has
expanded ^vprf+++xvbnx+=expanded
at ^rb++++=at
a ^at++++=a
steady ^jj+atrb+++=steady
rate ^nn++++=rate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
complexity ^nn+nom+++=complexity
of ^in++++=of
its ^pp$+it+++=its
tasks ^nns++++=tasks
and ^cc++++=and
learner ^nn++++=learner
variables ^nns++++=variables
enables ^vbz++++=enables
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
potential ^jj+atrb+++=potential
investigations ^nns+nom+++=investigations,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
the ^ati++++=the
following ^jj+atrb+++=following
section ^nn+nom+++=section.
. ^zz++++=EXTRAWORD
