Among ^in++++=Among
the ^ati++++=the
ecological ^jj+atrb+++=ecological
groups ^nns++++=groups
identified ^vwbn+++xvbn+=identified,
, ^zz++++=EXTRAWORD
37.5 ^cd++++=37.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
non ^&fw++++=non-pioneers
- ^zz++++=EXTRAWORD
pioneers ^nns+nom+++=EXTRAWORD
and ^cc++++=and
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
as ^ql++++=as
pioneers ^nns+nom+++=pioneers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remaining ^jj+atrb++xvbg+=remaining
species ^nns++++=species
were ^vbd+bed+aux++=were
not ^xnot++not++=not
assigned ^vbd+++xvbn+=assigned
to ^in++++=to
an ^at++++=an
ecological ^jj+atrb+++=ecological
group ^nn++++=group
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
classification ^nn+nom+++=classification
as ^in++++=as
herbaceous ^jj++++=herbaceous
( ^zz++++=(22.5%),
22.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lianas ^nns+++??+=lianas
( ^zz++++=(7.5%),
7.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
undetermined ^jj++++=undetermined
( ^zz++++=(2.5%).
2.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
non ^&fw++++=non-pioneer
- ^zz++++=EXTRAWORD
pioneer ^nn+nom+++=EXTRAWORD
species ^nns++++=species
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
species ^nns++++=species
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
recorded ^vbn+vpub++xvbn+=recorded
individuals ^nns+nom+++=individuals
( ^zz++++=(83.6%)
83.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
the ^ati++++=the
pioneer ^nn+nom+++=pioneer
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
that ^tht+vcmp+++=that
most ^ql+emph+++=most
species ^nns++++=species
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
seed ^nn++++=seed
bank ^nn++++=bank
of ^in++++=of
semideciduous ^jj+atrb+++=semideciduous
forests ^nns++++=forests
are ^vb+ber+vrb++=are
pioneers ^nns+nom+++=pioneers
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
ecological ^jj+atrb+++=ecological
succession ^nn++++=succession
( ^zz++++=(Thompson
thompson ^np++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Braga ^np+++??+=Braga
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Kunz ^np++++=Kunz
& ^zz++++=&
Martins ^np+++??+=Martins
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
species ^nn++++=species
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
persisting ^nn++++=persisting
in ^in++++=in
the ^ati++++=the
soil ^nn++++=soil
for ^in++++=for
extended ^jj+atrb++xvbn+=extended
periods ^nns++++=periods
in ^in++++=in
a ^at++++=a
dormant ^jj+atrb+++=dormant
state ^nn++++=state
and ^cc++++=and
typically ^rb++++=typically
produce ^vb++++=produce
large ^jj+atrb+++=large
quantities ^nns+nom+++=quantities
of ^in++++=of
seeds ^nns++++=seeds
( ^zz++++=(Martins
martins ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-pioneer
- ^zz++++=EXTRAWORD
pioneer ^nn+nom+++=EXTRAWORD
species ^nn++++=species
generally ^rb+down+++=generally
do ^vb+do+aux++=do
not ^xnot++not++=not
establish ^vb+vprv+++=establish
populations ^nns+nom+++=populations
within ^in++++=within
the ^ati++++=the
seed ^nn++++=seed
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
larger ^jjr+atrb+++=larger
seeds ^nns++++=seeds
are ^vb+ber+vrb++=are
less ^rbr++++=less
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
penetrate ^nn+nom+++=penetrate
the ^ati++++=the
litter ^nn++++=litter
layer ^nn++++=layer
and ^cc++++=and
integrate ^nn+nom+++=integrate
with ^in++++=with
the ^ati++++=the
soil ^nn++++=soil
( ^zz++++=(Martins
martins ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
inability ^nn+nom+++=inability
of ^in++++=of
large ^jj+atrb+++=large
seeds ^nns++++=seeds
to ^to++++=to
become ^vbi++++=become
incorporated ^vbd+++xvbn+=incorporated
