Antagonistic ^np+++??+=Antagonistic
and ^cc++++=and
mutualistic ^jj+atrb+++=mutualistic
interactions ^nns+nom+++=interactions
are ^vb+ber+aux++=are
not ^xnot++not++=not
isolated ^xvbn+++xvbn+=isolated
phenomena ^nns++++=phenomena
in ^in++++=in
nature ^nn++++=nature
but ^cc++++=but
frequently ^rb++++=frequently
coexist ^nn+nom+++=coexist
within ^in++++=within
ecological ^jj+atrb+++=ecological
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
combined ^jj+atrb++xvbn+=combined
effects ^nns++++=effects
of ^in++++=of
mutualisms ^nns+nom+++=mutualisms
and ^cc++++=and
antagonisms ^nns+nom+++=antagonisms
on ^in++++=on
population ^nn+nom+++=population
dynamics ^nn++++=dynamics
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Meli ^np+++??+=Meli
n ^zz++++=n
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
community ^nn+nom+++=community
stability ^nn+nom+++=stability
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Wilson ^np++++=Wilson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
network ^nn++++=network
structure ^nn++++=structure
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Genini ^np+++??+=Genini
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
emphasizing ^vbg+++xvbg+=emphasizing
the ^ati++++=the
necessity ^nn+nom+++=necessity
of ^in++++=of
accounting ^xvbg+++xvbg+=accounting
for ^in++++=for
the ^ati++++=the
diverse ^jj+atrb+++=diverse
outcomes ^nns+++??+=outcomes
that ^tht+rel+obj++=that
interactions ^nns+nom+++=interactions
can ^md+pos+++=can
produce ^vb++++=produce
within ^in++++=within
a ^at++++=a
single ^jj+atrb+++=single
community ^nn+nom+++=community
and ^cc++++=and
recognizing ^vbg+++xvbg+=recognizing
that ^tht+vcmp+++=that
mutualism ^nn+nom+++=mutualism
and ^cc++++=and
antagonism ^nn+nom+++=antagonism
represent ^vb++++=represent
endpoints ^nns+++??+=endpoints
along ^in++++=along
a ^at++++=a
continuum ^nn++++=continuum
( ^zz++++=(Fontaine
fontaine ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
Rodr ^np+++??+=Rodr
guez ^nn+++??+=guez-Rodr
- ^zz++++=EXTRAWORD
rodr ^nn+++??+=EXTRAWORD
guez ^nn+++??+=guez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Individuals ^nns+nom+++=Individuals
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
species ^nns++++=species
may ^md+pos+++=may
function ^nn+nom+++=function
as ^ql++++=as
either ^dtx++++=either
antagonists ^nns+nom+++=antagonists
or ^cc++++=or
mutualists ^nns+nom+++=mutualists
toward ^in++++=toward
the ^ati++++=the
same ^ap++++=same
interacting ^jj+atrb+++=interacting
species ^nn++++=species;
; ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
seed ^nn++++=seed-caching
- ^zz++++=EXTRAWORD
caching ^jj+atrb++xvbg+=EXTRAWORD
rodents ^nns++++=rodents
can ^md+pos+++=can
act ^vb+vpub+++=act
both ^abx++++=both
as ^ql++++=as
seed ^nns++++=seed
predators ^nns++++=predators
and ^cc++++=and
as ^ql++++=as
seed ^nns++++=seed
dispersers ^nns+nom+++=dispersers
for ^in++++=for
the ^ati++++=the
same ^ap++++=same
plant ^nn++++=plant
species ^nn++++=species
( ^zz++++=(Loayza
loayza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
may ^md+pos+++=may
serve ^vb++++=serve
as ^ql++++=as
antagonists ^nns+nom+++=antagonists
to ^in++++=to
some ^dti++++=some
species ^nns++++=species
while ^cs+sub+++=while
acting ^vbg+++xvbg+=acting
as ^ql++++=as
mutualists ^nns+nom+++=mutualists
to ^in++++=to
others ^aps++++=others
( ^zz++++=(G
g ^zz++++=EXTRAWORD
mez ^nn+++??+=mez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
G ^zz++++=G
mez ^nn+++??+=mez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
