Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
Bibliographic ^np+++??+=Bibliographic
data ^nns++++=data
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
Lilacs ^np+++??+=LILACS
for ^in++++=for
systematically ^rb++++=systematically
indexed ^vbd+++xvbn+=indexed
journals ^nns+nom+++=journals
that ^tht+rel+subj++=that
published ^vbd+++xvbn+=published
at ^rb++++=at
least ^rb"++++=least
50 ^cd++++=50
signed ^vprf+++xvbn+=signed
articles ^nns++++=articles
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
articles ^nns++++=articles
with ^in++++=with
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
identifiable ^jj+atrb+++=identifiable
individual ^nn+nom+++=individual
author ^nn++++=author)
) ^zz++++=EXTRAWORD
between ^in++++=between
2015 ^cd++++=2015
and ^cc++++=and
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
Authors ^nns++++=Authors
were ^vbd+bed+aux++=were
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
name ^nn++++=name
or ^cc++++=or,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
available ^jj++++=available,
, ^zz++++=EXTRAWORD
by ^in++++=by
Orcid ^np+++??+=ORCID
identifier ^jjr++++=identifier.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ppmp ^np+++??+=PPMP
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
articles ^nns++++=articles
authored ^vwbn+++xvbn+=authored
by ^in++++=by
the ^ati++++=the
journal ^nn++++=journal
s ^zz++++=s
most ^ap+emph+++=most
prolific ^jj+atrb+++=prolific
author ^nn++++=author
divided ^vwbn+++xvbn+=divided
by ^in++++=by
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
signed ^vprf+++xvbn+=signed
articles ^nns++++=articles
in ^in++++=in
the ^ati++++=the
journal ^nn++++=journal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Gini ^np+++??+=Gini
coefficient ^nn++++=coefficient
was ^vbd+bedz+aux++=was
computed ^vpsv++agls+xvbnx+=computed
such ^abl++++=such
that ^dt+pdem+++=that
articles ^vbz++++=articles
with ^in++++=with
multiple ^jj+atrb+++=multiple
authors ^nns++++=authors
were ^vbd+bed+aux++=were
counted ^vpsv++agls+xvbnx+=counted
for ^in++++=for
each ^dt++++=each
contributing ^jj+atrb++xvbg+=contributing
author ^nn++++=author.
. ^zz++++=EXTRAWORD
For ^in++++=For
comparative ^jj+atrb+++=comparative
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
Medline ^np+++??+=MEDLINE
data ^nns++++=data
were ^vbd+bed+aux++=were
reweighted ^vpsv++agls+xvbnx+=reweighted
to ^to++++=to
match ^vbi++++=match
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
journal ^nn++++=journal
sizes ^nns++++=sizes
( ^zz++++=(measured
measured ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
signed ^vprf+++xvbn+=signed
articles ^nns++++=articles)
) ^zz++++=EXTRAWORD
observed ^vpsv++agls+xvbn+=observed
in ^in++++=in
the ^ati++++=the
lilacs ^np++++=LILACS
dataset ^nn++++=dataset.
. ^zz++++=EXTRAWORD
