Employment ^nn+nom+++=Employment
decentralization ^nn+nom+++=decentralization
within ^in++++=within
cities ^nns++++=cities
is ^vbz+bez+vrb++=is
a ^at++++=a
significant ^jj+atrb+++=significant
factor ^nn++++=factor
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
urban ^jj+atrb+++=urban
landscape ^nn++++=landscape
transformation ^nn+nom+++=transformation,
, ^zz++++=EXTRAWORD
affecting ^vbg+++xvbg+=affecting
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
housing ^nn++++=housing
prices ^nns++++=prices,
, ^zz++++=EXTRAWORD
transportation ^nn+nom+++=transportation
demand ^nn++++=demand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commuting ^jj+atrb++xvbg+=commuting
patterns ^nns++++=patterns
( ^zz++++=(Fujita
fujita ^nn+++??+=EXTRAWORD
and ^cc++++=and
Ogawa ^np+++??+=Ogawa,
, ^zz++++=EXTRAWORD
1982 ^cd+date+++=1982;
; ^zz++++=EXTRAWORD
Anas ^np+++??+=Anas
and ^cc++++=and
Kim ^np++++=Kim,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990;
; ^zz++++=EXTRAWORD
Helsley ^np+++??+=Helsley
and ^cc++++=and
Sullivan ^np+nom+++=Sullivan,
, ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
decentralization ^nn+nom+++=decentralization
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
driven ^vpsv++by+xvbnx+=driven
by ^in++++=by
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
suburbanization ^nn+nom+++=suburbanization
( ^zz++++=(Glaser
glaser ^jjr++++=EXTRAWORD
and ^cc++++=and
Kahn ^np+++??+=Kahn,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
economic ^jj+atrb+++=economic
activity ^nn+nom+++=activity
expands ^vbz++++=expands
from ^in++++=from
the ^ati++++=the
central ^jj+atrb+++=central
business ^nns+nom+++=business
district ^nn++++=district
( ^zz++++=(CBD)
cbd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
toward ^in++++=toward
the ^ati++++=the
urban ^jj+atrb+++=urban
periphery ^nn+nom+++=periphery,
, ^zz++++=EXTRAWORD
capitalizing ^jj+++xvbg+=capitalizing
on ^in++++=on
relative ^jj+atrb+++=relative
advantages ^nns+nom+++=advantages
in ^in++++=in
transportation ^nn+nom+++=transportation
costs ^nns++++=costs,
, ^zz++++=EXTRAWORD
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
land ^nn++++=land
prices ^nns++++=prices
( ^zz++++=(McMillen
mcmillen ^vb+++xvbn+=EXTRAWORD
and ^cc++++=and
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Mcmillen ^np+++??+=McMillen
( ^zz++++=(2001b),
2001b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
urban ^jj+atrb+++=urban
growth ^nn++++=growth
