Mollo ^np+++??+=Mollo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
in ^in++++=in
Alcantarea ^np+++??+=Alcantarea
imperialis ^nns+++??+=imperialis
( ^zz++++=(Carri
carri ^nn+++??+=EXTRAWORD
re ^in++++=re)
) ^zz++++=EXTRAWORD
Harms ^np+++??+=Harms
( ^zz++++=(Bromeliaceae),
bromeliaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
carbohydrates ^nns+nom+++=carbohydrates
exhibit ^vb++++=exhibit
significant ^jj+atrb+++=significant
alterations ^nns+nom+++=alterations
in ^in++++=in
response ^nn++++=response
to ^in++++=to
cold ^jj+atrb+++=cold
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
sucrose ^nn+++??+=sucrose
levels ^nns++++=levels
in ^in++++=in
plants ^nns++++=plants
exposed ^vbd+++xvbn+=exposed
to ^in++++=to
low ^jj+atrb+++=low
temperatures ^nns++++=temperatures
may ^md+pos+++=may
be ^vb+be+aux++=be
replaced ^vpsv++by+xvbnx+=replaced
by ^in++++=by
other ^ap++++=other
carbohydrates ^nns+nom+++=carbohydrates
such ^abl++++=such
as ^ql++++=as
trehalose ^vb+++??+=trehalose,
, ^zz++++=EXTRAWORD
raffinose ^nn+++??+=raffinose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stachyose ^nn+++??+=stachyose.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
starch ^nn++++=starch
concentrations ^nns+nom+++=concentrations
varied ^vbd+++xvbn+=varied
under ^in++++=under
cold ^nn++++=cold
stress ^vb+vpub+++=stress,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
being ^xvbg+++xvbg+=being
converted ^vbd+++xvbn+=converted
into ^in++++=into
carbohydrates ^nns+nom+++=carbohydrates
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
enhanced ^jj+atrb+++=enhanced
tolerance ^nn+nom+++=tolerance
and ^cc++++=and
protection ^nn+nom+++=protection
against ^in++++=against
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
