2 ^zz++++=2.
. ^zz++++=EXTRAWORD
The ^ati++++=The
professional ^jj+atrb+++=professional
interests ^nns++++=interests
of ^in++++=of
Mexican ^jj+atrb+++=Mexican
adolescents ^nns++++=adolescents
in ^in++++=in
pursuing ^xvbg+++xvbg+=pursuing
scientific ^jj++++=scientific
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
careers ^nns+nom+++=careers
including ^in++++=including
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
nursing ^nn++++=nursing,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
health ^nn++++=health,
, ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=clinical
psychology ^nn++++=psychology,
, ^zz++++=EXTRAWORD
chemistry ^nn++++=chemistry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
biology ^nn++++=biology
were ^vbd+bed+aux++=were
examined ^vpsv++agls+xvbnx+=examined.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
analysis ^nn++++=analysis
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
identify ^vbi++++=identify
the ^ati++++=the
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
their ^pp$+pp3+++=their
career ^nn++++=career
preferences ^nns+nom+++=preferences
within ^in++++=within
these ^dt+dem+++=these
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
prevalence ^nn+nom+++=prevalence
of ^in++++=of
interest ^nn++++=interest
in ^in++++=in
each ^dt++++=each
specific ^jj+atrb+++=specific
discipline ^nn++++=discipline.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
contribute ^vb++++=contribute
to ^in++++=to
a ^at++++=a
better ^jjr++++=better
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
motivations ^nns+nom+++=motivations
and ^cc++++=and
barriers ^nns+nom+++=barriers
that ^tht+rel+obj++=that
may ^md+pos+++=may
affect ^vb++++=affect
Mexican ^jj+atrb+++=Mexican
adolescents ^nns++++=adolescents
decisions ^nns++++=decisions
to ^to+ncmp+++=to
enter ^vbi++++=enter
scientific ^jj++++=scientific
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
professions ^nns++++=professions.
. ^zz++++=EXTRAWORD
