A ^at++++=A
higher ^jjr+atrb+++=higher
proportion ^nn+nom+++=proportion
of ^in++++=of
respondents ^nns++++=respondents
interested ^jj++++=interested
in ^in++++=in
pursuing ^xvbg+++xvbg+=pursuing
a ^at++++=a
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
career ^nn++++=career
( ^zz++++=(28%)
28 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
changing ^jj+++xvbg+=changing
their ^pp$+pp3+++=their
career ^nn++++=career
plans ^nns++++=plans
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
their ^pp$+pp3+++=their
experiences ^nns+nom+++=experiences
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
those ^dt+dem+++=those
interested ^jj++++=interested
in ^in++++=in
science ^nn+nom+++=science
careers ^nns+nom+++=careers
( ^zz++++=(23%).
23% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
pursuing ^vwbg+++xvbg+=pursuing
other ^ap++++=other
careers ^nns+nom+++=careers
and ^cc++++=and
18 ^cd++++=18%
% ^zz++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
not ^xnot++not++=not
planning ^vb+++xvbg+=planning
to ^to+vcmp+++=to
pursue ^vbi++++=pursue
further ^jjb+atrb+++=further
studies ^nns++++=studies
reported ^vbn+vpub+++=reported
changes ^nns++++=changes
in ^in++++=in
their ^pp$+pp3+++=their
career ^nn++++=career
plans ^nns++++=plans.
. ^zz++++=EXTRAWORD
