Geographically ^rb+cnj+++=Geographically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
is ^vbz+bez+aux++=is
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
two ^cd++++=two
mesoregions ^nns+++??+=mesoregions,
, ^zz++++=EXTRAWORD
Juru ^np+++??+=Juru
and ^cc++++=and
Acre ^nn++++=Acre
Valley ^nn++++=Valley,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
further ^jjb++++=further
subdivided ^jj+++xvbn+=subdivided
into ^in++++=into
five ^cd++++=five
microregions ^nns+++??+=microregions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
microregions ^nns+++??+=microregions
of ^in++++=of
Rio ^np+++??+=Rio
Branco ^np+++??+=Branco,
, ^zz++++=EXTRAWORD
Sena ^np+++??+=Sena
Madureira ^np+++??+=Madureira,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brasil ^np+++??+=Brasil
ia ^nn+++??+=ia
are ^vb+ber+vrb++=are
part ^nn++++=part
of ^in++++=of
Acre ^nn++++=Acre
Valley ^nn++++=Valley,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Cruzeiro ^np+++??+=Cruzeiro
do ^vb+do+vrb++=do
sul ^np++++=Sul
and ^cc++++=and
tarauac ^np++++=Tarauac
belong ^vb++++=belong
to ^in++++=to
juru ^np++++=Juru
valley ^nn++++=Valley
[ ^zz++++=[22].
22 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
