If ^cs+cnd+++=If
university ^npl+nom+++=university
ownership ^nn+nom+++=ownership
does ^vbz+doz+aux++=does
contribute ^vb++++=contribute
to ^in++++=to
endogeneity ^nn+nom+++=endogeneity
in ^in++++=in
scientific ^jj+atrb+++=scientific
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
effect ^nn++++=effect
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
mitigated ^vpsv++by+xvbnx+=mitigated
by ^in++++=by
the ^ati++++=the
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria
employed ^vwbn+++xvbn+=employed
by ^in++++=by
Lilacs ^np+++??+=LILACS.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
utilized ^vbd+++xvbn+=utilized
Orcid ^np+++??+=ORCID
identifiers ^nns+nom+++=identifiers
for ^in++++=for
some ^dti++++=some
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
increase ^vbi++++=increase
both ^abx++++=both
concentration ^nn+nom+++=concentration
indexes ^vbz+++??+=indexes
compared ^vbd+++xvbn+=compared
to ^in++++=to
analyses ^nns++++=analyses
based ^vwbn+++xvbn+=based
solely ^rb++++=solely
on ^in++++=on
authors ^nns++++=authors
names ^nns++++=names.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Lilacs ^np+++??+=LILACS
assesses ^nns+nom+++=assesses
endogeneity ^nn+nom+++=endogeneity
more ^rbr++++=more
directly ^rb++++=directly
by ^in++++=by
measuring ^xvbg+++xvbg+=measuring
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
reviewers ^nns+nom+++=reviewers
and ^cc++++=and
editors ^nns++++=editors
affiliated ^vbd+++xvbn+=affiliated
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
institution ^nn+nom+++=institution
or ^cc++++=or
geographic ^jj+atrb+++=geographic
region ^nn++++=region,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
relied ^vbd+++xvbn+=relied
on ^in++++=on
more ^rbr++++=more
indirect ^jj+atrb+++=indirect
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
The ^ati++++=The
persistence ^nn+nom+++=persistence
of ^in++++=of
these ^dt+dem+++=these
mitigating ^jj+atrb++xvbg+=mitigating
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
endogeneity ^nn+nom+++=endogeneity
is ^vbz+bez+aux++=is
measured ^vpsv++agls+xvbnx+=measured
differently ^rb++++=differently
from ^in++++=from
Lilacs ^np+++??+=LILACS
s ^zz++++=s
own ^ap++++=own
methodology ^nn++++=methodology,
, ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
robustness ^nns+nom+++=robustness
of ^in++++=of
the ^ati++++=the
Lilacs ^np+++??+=LILACS
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
Researchers ^nns+nom++??+=Researchers
aiming ^vb+++xvbg+=aiming
to ^to+vcmp+++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
university ^nn+nom+++=university
ownership ^nn+nom+++=ownership
on ^in++++=on
journal ^nn++++=journal
endogeneity ^nn+nom+++=endogeneity
may ^md+pos+++=may
need ^vb++md++=need
to ^to+vcmp+++=to
focus ^vb++++=focus
on ^in++++=on
newly ^rb++++=newly
established ^vbn+vprv++xvbn+=established
journals ^nns+nom+++=journals
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
not ^xnot++not++=not
yet ^rb++++=yet
been ^vbd+ben+aux++=been
indexed ^vpsv++by+xvbn+=indexed
by ^in++++=by
lilacs ^np++++=LILACS.
. ^zz++++=EXTRAWORD
