With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
employment ^nn+nom+++=employment
status ^nn++++=status,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
notable ^jj+atrb+++=notable
difference ^nn+nom+++=difference
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
within ^in++++=within
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
disparities ^nns+nom+++=disparities
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work
participation ^nn+nom+++=participation
between ^in++++=between
salaried ^jj+atrb+++=salaried
workers ^nns+nom+++=workers
in ^in++++=in
the ^ati++++=the
formal ^jj+atrb+++=formal
and ^cc+phrs+++=and
informal ^jj+atrb+++=informal
sectors ^nns++++=sectors
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
primarily ^rb+down+splt++=primarily
reflect ^vbi+vprv+++=reflect
distinctions ^nns+nom+++=distinctions
between ^in++++=between
the ^ati++++=the
public ^nn++++=public
and ^cc++++=and
private ^jj+atrb+++=private
sectors ^nns++++=sectors,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
overrepresentation ^nn+nom+++=overrepresentation
of ^in++++=of
public ^jj+atrb+++=public
sector ^nn++++=sector
employees ^nns+nom+++=employees
within ^in++++=within
the ^ati++++=the
formal ^jj+atrb+++=formal
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
private ^jj+atrb+++=private
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
the ^ati++++=the
difference ^nn+nom+++=difference
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work
participation ^nn+nom+++=participation
between ^in++++=between
individuals ^nns+nom+++=individuals
with ^in++++=with
formal ^jj+atrb+++=formal
contracts ^nns++++=contracts
( ^zz++++=(9.52%)
9.52 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
those ^dt+dem+++=those
without ^in++++=without
formal ^jj+atrb+++=formal
contracts ^nns++++=contracts
( ^zz++++=(8.42%)
8.42 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
minimal ^jj+pred+++=minimal.
. ^zz++++=EXTRAWORD
