Since ^in++++=Since
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
the ^ati++++=the
metadata ^nn+++??+=metadata
of ^in++++=of
biological ^jj+atrb+++=biological
specimens ^nns++++=specimens
housed ^vbd+++xvbn+=housed
in ^in++++=in
Fiocruz ^np+++??+=FIOCRUZ/COLFLEB
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
digitized ^vpsv++agls+xvbnx+=digitized,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
various ^jj+atrb+++=various
biological ^jj+atrb+++=biological
collections ^nns+nom+++=collections
at ^in++++=at
Fiocruz ^np+++??+=Fiocruz
[ ^zz++++=[15],
15 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
collection ^nn+nom+++=collection
has ^vbz+hvz+vrb++=has
the ^ati++++=the
highest ^jjt+atrb+++=highest
volume ^nn++++=volume
of ^in++++=of
data ^nns++++=data
published ^vbd+++xvbn+=published
online ^nn+++??+=online.
. ^zz++++=EXTRAWORD
The ^ati++++=The
online ^nn+++??+=online
catalogue ^nn++++=catalogue
is ^vbz+bez+aux++=is
also ^rb++splt++=also
integrated ^vpsv++agls+xvbnx+=integrated
with ^in++++=with
the ^ati++++=the
specieslink ^nn+++??+=speciesLink
network ^nn++++=network
( ^zz++++=(<http://www.splink.org.br/search?collectioncode=FIOCRUZ-COL
< ^zz++++=EXTRAWORD
http ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Sistema ^np+++??+=Sistema
de ^&fw++++=de
Informa ^np+++??+=Informa
o ^zz++++=o
sobre ^nn++++=sobre
a ^at++++=a
biodiversidade ^np++++=Biodiversidade
brasileira ^np++++=Brasileira
( ^zz++++=(SiBBr)
sibbr ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(<http://ipt.fiocruz.br/ipt/resource?r=fiocruz_colfleb>).
< ^zz++++=EXTRAWORD
http:). ^nn++++=EXTRAWORD
