A ^at++++=A
total ^nn++++=total
of ^in++++=of
494 ^cd++++=494
individuals ^nns+nom+++=individuals
representing ^vwbg+++xvbg+=representing
19 ^cd++++=19
botanical ^jj+atrb+++=botanical
families ^nns++++=families
were ^vbd+bed+aux++=were
sampled ^vpsv++agls+xvbnx+=sampled,
, ^zz++++=EXTRAWORD
encompassing ^jj+++xvbg+=encompassing
30 ^cd++++=30
genera ^nns++++=genera
and ^cc++++=and
40 ^cd++++=40
morphospecies ^nns+++??+=morphospecies
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
individuals ^nns+nom+++=individuals
identified ^vwbn+++xvbn+=identified
to ^in++++=to
at ^rb++++=at
least ^rb"++++=least
the ^ati++++=the
family ^nn++++=family
level ^nn++++=level,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
species ^nns++++=species
diversity ^nn+nom+++=diversity
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
Asteraceae ^np+++??+=Asteraceae
( ^zz++++=(17.5%),
17.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Moraceae ^np+++??+=Moraceae
( ^zz++++=(12.5%),
12.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Solanaceae ^np+++??+=Solanaceae
( ^zz++++=(12.5%),
12.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Urticaceae ^np+++??+=Urticaceae
( ^zz++++=(7.5%).
7.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
individuals ^nns+nom+++=individuals
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
reliably ^rb++splt++=reliably
identified ^vpsv++agls+xvbnx+=identified
to ^in++++=to
the ^ati++++=the
genus ^nns+++??+=genus
or ^cc++++=or
species ^nn++++=species
level ^nn++++=level
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
in ^in++++=in
a ^at++++=a
reproductive ^jj+atrb+++=reproductive
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
vegetative ^jj+atrb+++=vegetative
characteristics ^nns++++=characteristics
observed ^jj++++=observed
were ^vbd+bed+vrb++=were
insufficient ^jj+pred+++=insufficient
for ^in++++=for
definitive ^jj+atrb+++=definitive
identification ^nn+nom+++=identification.
. ^zz++++=EXTRAWORD
