However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
excessive ^jj+atrb+++=excessive
rigidity ^nn+nom+++=rigidity
in ^in+cmpx+++=in
the ^in"++++=the
process ^in"++++=process
of ^in"++++=of
rational ^jj+atrb+++=rational
clarification ^nn+nom+++=clarification
and ^cc++++=and
control ^nn++++=control
over ^in++++=over
the ^ati++++=the
mimetic ^jj+atrb+++=mimetic
impulse ^nn++++=impulse
may ^md+pos+++=may
lead ^vb++++=lead
to ^to++++=to
its ^pp$+it+++=its
repression ^nn++++=repression.
. ^zz++++=EXTRAWORD
