According ^in+cmpx+++=According
to ^in++++=to
information ^nn+nom+++=information
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
the ^ati++++=the
administration ^nn+nom+++=administration
of ^in++++=of
the ^ati++++=the
Guarni ^np+++??+=Guarni
o ^zz++++=o
da ^np++++=da
Aeron ^np+++??+=Aeron
utica ^nn+++??+=utica
de ^&fw++++=de
Pirassununga ^np+++??+=Pirassununga,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
areas ^nns++++=areas
adjacent ^jj++++=adjacent
to ^in++++=to
the ^ati++++=the
Mogi ^np+++??+=Mogi
Gua ^np+++??+=Gua
u ^zz++++=u
River ^npl++++=River
within ^in++++=within
the ^ati++++=the
Pirassununga ^np+++??+=Pirassununga
Municipality ^nn+nom+++=Municipality
require ^vb+vsua+++=require
ecological ^jj+atrb+++=ecological
restoration ^nn+nom+++=restoration
( ^zz++++=(S.M.
s.m ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Barroso ^np+++??+=Barroso,
, ^zz++++=EXTRAWORD
personal ^jj+atrb+++=personal
communication ^nn+nom+++=communication).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
species ^nns++++=species
identified ^vwbn+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
with ^in++++=with
the ^ati++++=the
List ^nn++++=List
of ^in++++=of
Species ^nns++++=Species
Specified ^vbd+vsua++xvbn+=Specified
for ^in++++=for
Ecological ^np+++??+=Ecological
Restoration ^nn+nom+++=Restoration
for ^in++++=for
Various ^jj+atrb+++=Various
Regions ^nns++++=Regions
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
( ^zz++++=(Barbosa
barbosa ^nn+++??+=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
18 ^cd++++=18
of ^in++++=of
the ^ati++++=the
recorded ^jj+atrb++xvbn+=recorded
species ^nns++++=species
are ^vb+ber+aux++=are
recommended ^vpsv++agls+xvbnx+=recommended
for ^in++++=for
restoration ^nn+nom+++=restoration
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
fragment ^nn+nom+++=fragment
has ^vbz+hvz+vrb++=has
potential ^nn++++=potential
to ^to+ncmp+++=to
serve ^vbi++++=serve
as ^in++++=as
a ^at++++=a
source ^nn++++=source
of ^in++++=of
propagules ^nns+++??+=propagules
for ^in++++=for
the ^ati++++=the
rehabilitation ^nn+nom+++=rehabilitation
of ^in++++=of
degraded ^jj+atrb+++=degraded
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
through ^in++++=through
the ^ati++++=the
selection ^nn+nom+++=selection
of ^in++++=of
seed ^nn++++=seed
trees ^nns++++=trees
for ^in++++=for
seed ^nn++++=seed
collection ^nn+nom+++=collection
and ^cc++++=and
subsequent ^jj+atrb+++=subsequent
seedling ^nn+nom+++=seedling
production ^nn+nom+++=production,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
through ^in++++=through
the ^ati++++=the
translocation ^nn+nom+++=translocation
of ^in++++=of
soil ^nn++++=soil
and ^cc++++=and/or
litter ^nn++++=litter
( ^zz++++=(Brancalion
brancalion ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
