When ^wrb+who+++=When
participants ^nns+nom+++=participants
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked
about ^in++++=about
their ^pp$+pp3+++=their
reasons ^nns++++=reasons
for ^in++++=for
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
study ^vbi++++=study
science ^nn+nom+++=science-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
fields ^nns++++=fields
( ^zz++++=(including
including ^in++++=EXTRAWORD
natural ^jj+atrb+++=natural
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
mathematics ^nn++++=mathematics,
, ^zz++++=EXTRAWORD
statistics ^nns++++=statistics,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
health ^nn++++=health
sciences ^nns+nom+++=sciences),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
selected ^jj+atrb++xvbn+=selected
reason ^nn++++=reason
among ^in++++=among
those ^dt+dem+++=those
intending ^vb+++xvbg+=intending
to ^to+vcmp+++=to
pursue ^vbi++++=pursue
health ^nn++++=health
sciences ^nns+nom+++=sciences
was ^vbd+bedz+vrb++=was
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
subject ^nn++++=subject
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
with ^in++++=with
39.7 ^cd++++=39.7%
% ^zz++++=EXTRAWORD
indicating ^vbg+vprv+tht0+xvbg+=indicating
I ^pp1a+pp1+++=I
like ^in++++=like
that ^dt+dem+++=that
type ^nn++++=type
of ^in++++=of
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
48.4 ^cd++++=48.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
interested ^jj++++=interested
in ^in++++=in
natural ^jj+atrb+++=natural
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
mathematics ^nn++++=mathematics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
statistics ^nns++++=statistics
selected ^vwbn+++xvbn+=selected
this ^dt+dem+++=this
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
3.2 ^cd++++=3.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
individuals ^nns+nom+++=individuals
planning ^vb+++xvbg+=planning
to ^to+vcmp+++=to
enter ^vbi++++=enter
these ^dt+dem+++=these
fields ^nns++++=fields
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
ongoing ^jj++++=ongoing
pandemic ^jj++++=pandemic
had ^vbd+hvd+aux++=had
influenced ^xvbn+++xvbn+=influenced
their ^pp$+pp3+++=their
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
