Anatomical ^jj+atrb+++=Anatomical
immaturity ^nn+nom+++=immaturity
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
underdevelopment ^nn+nom+++=underdevelopment
of ^in++++=of
the ^ati++++=the
photosynthetic ^jj+atrb+++=photosynthetic
apparatus ^nn++++=apparatus.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
in ^in++++=in
vitro ^nn+++??+=vitro
plantlets ^nns+nom+++=plantlets
exhibited ^vbd+++xvbn+=exhibited
an ^at++++=an
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
achieve ^vbi++++=achieve
net ^jjb+atrb+++=net
carbon ^nn++++=carbon
assimilation ^nn+nom+++=assimilation,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
elevated ^jj+atrb++xvbn+=elevated
leaf ^nn++++=leaf
transpiration ^nn+nom+++=transpiration
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
suggests ^vbz+vpub+++=suggests
stomatal ^jj+atrb+++=stomatal
dysfunction ^nn+nom+++=dysfunction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
intensity ^nn+nom+++=intensity
required ^vbd+++xvbn+=required
for ^in++++=for
optimal ^jj+atrb+++=optimal
leaf ^nn++++=leaf
development ^nn+nom+++=development
varies ^vbz++++=varies
among ^in++++=among
species ^nn++++=species;
; ^zz++++=EXTRAWORD
an ^at++++=an
intensity ^nn+nom+++=intensity
sufficient ^jj++++=sufficient
for ^in++++=for
one ^cd1++++=one
species ^nns++++=species
may ^md+pos+++=may
be ^vb+be+vrb++=be
inadequate ^jj+pred+++=inadequate
for ^in++++=for
another ^dt++++=another.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
compared ^xvbn+++xvbn+=compared
to ^in++++=to
other ^ap++++=other
Cerrado ^np+++??+=Cerrado
species ^nns++++=species
cultivated ^vbd+++xvbn+=cultivated
in ^in++++=in
vitro ^nn+++??+=vitro,
, ^zz++++=EXTRAWORD
Lippia ^np+++??+=Lippia
rotundifolia ^nn+++??+=rotundifolia
develops ^vbz++++=develops
leaves ^nns++++=leaves
capable ^jj++++=capable
of ^in++++=of
net ^jjb+atrb+++=net
carbon ^nn++++=carbon
assimilation ^nn+nom+++=assimilation
under ^in++++=under
a ^at++++=a
photosynthetically ^rb++++=photosynthetically
active ^jj+atrb+++=active
radiation ^nn+nom+++=radiation
( ^zz++++=(PAR)
par ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
78 ^cd++++=78
mol ^nn+++??+=mol
m ^zz++++=m
s ^zz++++=s
( ^zz++++=(Hsie
hsie ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
Hanconia ^np+++??+=Hanconia
speciosa ^nn+++??+=speciosa
and ^cc++++=and
Hyptis ^np+++??+=Hyptis
marrubioides ^nns+++??+=marrubioides
demonstrate ^nn+nom+++=demonstrate
carbon ^nn++++=carbon
assimilation ^nn+nom+++=assimilation
at ^in++++=at
a ^at++++=a
Par ^&fw++++=PAR
of ^in++++=of
50 ^cd++++=50
mol ^nn+++??+=mol
m ^zz++++=m
s ^zz++++=s
( ^zz++++=(Costa
costa ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
