Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
can ^md+pos+++=can
be ^vb+be+aux++=be
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
the ^ati++++=the
fertile ^jj+atrb+++=fertile
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
receptacle ^nn+++??+=receptacle,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
forms ^vbz++++=forms
an ^at++++=an
irregular ^nn++++=irregular,
, ^zz++++=EXTRAWORD
reddish ^jj++++=reddish
net ^jjb++++=net
that ^cs+sub+++=that
encloses ^vbz+++??+=encloses
the ^ati++++=the
stipe ^nn+++??+=stipe
and ^cc++++=and
extends ^vbz++++=extends
beyond ^in++++=beyond
its ^pp$+it+++=its
width ^nn++++=width.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stipe ^nn+++??+=stipe
is ^vbz+bez+vrb++=is
also ^rb++++=also
reddish ^jj+pred+++=reddish,
, ^zz++++=EXTRAWORD
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
length ^nn++++=length
is ^vbz+bez+vrb++=is
clearly ^rb++++=clearly
greater ^jjr+pred+++=greater
than ^in++++=than
its ^pp$+it+++=its
width ^nn++++=width;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
striate ^jj++++=striate
( ^zz++++=(Hern
hern ^np++++=EXTRAWORD
ndez ^nn++++=ndez-Caffot
- ^zz++++=EXTRAWORD
caffot ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
