Goffman ^np+++??+=Goffman
( ^zz++++=(1974,
1974 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
9 ^zz++++=9)
) ^zz++++=EXTRAWORD
defines ^vbz++++=defines
" ^zz++++="face"
face ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
positive ^jj+atrb+++=positive
social ^jj+atrb+++=social
value ^nn++++=value
that ^tht+rel+obj++=that
an ^at++++=an
individual ^jj+atrb+++=individual
claims ^nns++++=claims
for ^in++++=for
themselves ^ppls+pp3+++=themselves
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
line ^nn++++=line
others ^aps++++=others
perceive ^vb+vprv+++=perceive
them ^pp3o+pp3+++=them
to ^to++++=to
have ^vbi+vbi+aux++=have
taken ^vprf+++xvbnx+=taken
during ^in++++=during
a ^at++++=a
specific ^jj+atrb+++=specific
interaction ^nn+nom+++=interaction.
. ^zz++++=EXTRAWORD
Politeness ^nns+nom+++=Politeness
functions ^nns+nom+++=functions
as ^in++++=as
a ^at++++=a
social ^jj+atrb+++=social
mechanism ^nn+nom+++=mechanism
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
maintain ^vbi+vpub+++=maintain
harmony ^nn++++=harmony
in ^in++++=in
interactions ^nns+nom+++=interactions
and ^cc++++=and
foster ^jjb+atrb+++=foster
positive ^jj+atrb+++=positive
relationships ^nns+nom+++=relationships
among ^in++++=among
participants ^nns+nom+++=participants.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Schneider ^np+nom++??+=Schneider
( ^zz++++=(1998,
1998 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
51 ^cd++++=51),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
politeness ^nns+nom+++=politeness
is ^vbz+bez+aux++=is
typically ^rb++splt++=typically
manifested ^vpsv++agls+xvbnx+=manifested
in ^in++++=in
grammatical ^jj+atrb+++=grammatical
structures ^nns++++=structures
through ^in++++=through
pragmatic ^jj+atrb+++=pragmatic
conventions ^nns+nom+++=conventions
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
recognized ^vpsv++by+xvbnx+=recognized
by ^in++++=by
a ^at++++=a
particular ^jj+atrb+++=particular
society ^nn++++=society
as ^ql++++=as
carrying ^jj+atrb++xvbg+=carrying
specific ^jj+atrb+++=specific
illocutionary ^nn+nom+++=illocutionary
force ^nn++++=force,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
expressions ^nns++++=expressions
like ^in++++=like
" ^zz++++="please"
please ^uh++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="could
could ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
